,T-FAP_1_corr,T-FAP_1_qval
Gdf10,0.7092168249656288,0.0
Fmo2,0.5481418222929185,0.0
Abcc9,0.5451011454124907,0.0
Ccl11,0.5231104037898349,5.907939301849869e-284
Apoe,0.5208919207481737,4.628624744388341e-281
Il6,0.5032517946276606,3.121029713575311e-258
Mlana,0.501853813254283,1.5081003668607302e-256
C2,0.4938184409834354,1.0209082848911813e-246
Steap4,0.4865060565520828,5.029883784982513e-238
Lpl,0.46976978513848555,6.200722404185162e-219
Cygb,0.4605298320301965,6.557286859212272e-209
Gria4,0.4516518711308754,1.2462490878752303e-199
Icam1,0.4502498226615091,3.25295759089578e-198
Selenop,0.4452368915620328,3.5240671417508384e-193
F3,0.412817632164168,2.50991575479785e-162
Nr2f2,0.40974097764585016,1.3205560355999663e-159
Fbln1,0.40888440777241525,7.206963958475432e-159
Prlr,0.40380505552107393,1.762443694247677e-154
Col15a1,0.39964219144558843,6.206666250189556e-151
Epha3,0.3978085305141228,2.1696181710513403e-149
Ccl19,0.3973153518842055,5.474071640075687e-149
Nfib,0.39507239866331767,3.966255802558283e-147
Tnfsf13b,0.38676120963120314,2.818089610853293e-140
Gabra3,0.3857616210286795,1.7680448595193488e-139
Cpe,0.3852612611443667,4.35612540253431e-139
Eln,0.3849562092052407,7.458575379185367e-139
Cst3,0.384185727766669,3.030025039706755e-138
Id3,0.3754973163415858,2.18767857675947e-131
Slc38a2,0.36576812661098124,5.7321359916113635e-124
Junb,0.36555315271183664,8.102635248035465e-124
Gem,0.3619833338272679,3.520666895685749e-121
Cebpb,0.3614955298337555,7.887552971150067e-121
C1s1,0.3573359188894008,8.587867165455845e-118
Cebpd,0.35066185454447774,4.724647938051498e-113
Il11ra1,0.34814681333869957,2.738789208471291e-111
Art4,0.3455798685753507,1.595493288504514e-109
Smoc2,0.3427252283546028,1.4357304874816158e-107
Mylk,0.34106388554319383,1.9308822028059547e-106
Mt1,0.3398617917609221,1.2252531302505382e-105
Kitl,0.33935432757560297,2.659713352429957e-105
Cxcl12,0.33889091078549116,5.383995689393874e-105
Olfr1033,0.33681771899184637,1.2961699916229188e-103
Atp1a2,0.335801975175555,6.100967730421657e-103
Id4,0.3337189406821399,1.4583957093363796e-101
Cd302,0.3334186503689943,2.2693649822123123e-101
Ccbe1,0.3308745620663238,1.0403159016888189e-99
Mgp,0.32898986279158193,1.7387759409964064e-98
Fosb,0.325548240993434,2.812048052268462e-96
Zfp36l1,0.32147950006824777,1.0271498405749093e-93
Srpx,0.3213292905618369,1.2603466456845741e-93
Id2,0.32051563670544164,4.042322079313821e-93
Mfap4,0.3188636845147855,4.31582034690054e-92
Phex,0.31772952123396814,2.1648594486701856e-91
Gm14964,0.3151909821144905,7.8126932484004055e-90
Zfp36,0.31445341351868894,2.1613455473398172e-89
Fgf7,0.3136009820678498,7.094145215549817e-89
Pltp,0.31291927490728105,1.8040868883214143e-88
Hk2,0.3111227152617243,2.1935517622620115e-87
Ms4a4d,0.31101925529011987,2.504098449071299e-87
Lrp6,0.3055120339749069,4.7195376655789415e-84
Gadd45g,0.3047674971787042,1.2827819300079689e-83
Socs3,0.304684875444785,1.419203415152055e-83
Ptch2,0.3043818999956298,2.1162355514828965e-83
Col4a1,0.3038693732606945,4.1868151563976185e-83
Gbp5,0.30252790492977044,2.497121767017611e-82
Dapk1,0.30234608179396827,3.154716249605199e-82
Sparcl1,0.3019647967306191,5.102679218676537e-82
Adcyap1r1,0.30080614158424485,2.3775428844307446e-81
Nr4a1,0.2980799285452616,8.659315373778782e-80
Dcn,0.2950939069842579,4.2069204826857396e-78
Il6st,0.29470071149266114,6.950408753043375e-78
Tspan11,0.29459643909726285,7.885222589372185e-78
Colec12,0.29348480155771633,3.2406179112874286e-77
Chrdl1,0.2914992034497485,4.1039103734785826e-76
Angpt2,0.2909741545125203,7.969096557037597e-76
Igfbp3,0.2905634375590695,1.3238718317455537e-75
Cpxm1,0.29043806049463666,1.5404076890845334e-75
Ltbp4,0.28948660972869966,5.004663902836264e-75
Gucy1a1,0.28883555752855306,1.1160072228665952e-74
Rgs16,0.2885726885275181,1.544602155352523e-74
Rbp1,0.2880558244726056,2.877768365679914e-74
Igfbp7,0.28724382268889437,7.772606293168318e-74
Col4a2,0.28723360500449296,7.814485120291339e-74
Adamts1,0.2869610595609816,1.0929598083517626e-73
Mmp3,0.286899479123337,1.1722645268649709e-73
Sfrp4,0.2862099156585067,2.7655367690581803e-73
Inmt,0.28526541971774494,8.883783077992941e-73
Serping1,0.284837438089053,1.5042021266521062e-72
Gpnmb,0.28306662574420904,1.3454197924178354e-71
C1ra,0.2816548444168871,7.406100036183916e-71
Pdlim3,0.2791585990106155,1.5344347430136234e-69
Fmo1,0.27807810066972893,5.651905047014787e-69
Cpz,0.2761763061484911,5.516914964379279e-68
Gm42418,0.2736684307591995,1.0651717997474223e-66
Naalad2,0.27363396827957565,1.1026140234269292e-66
