,TSPC_corr,TSPC_qval
Igfbp6,0.5766473138986737,0.0
Sema3c,0.5374806205935966,4.729442968271563e-304
Cd55,0.46202028473199447,1.5085707113430973e-210
Crip1,0.4597728824918435,3.577353620098116e-208
Axl,0.4503903028406033,2.1751254966441124e-198
S100a10,0.4325930087236531,1.1053722859856148e-180
Emp3,0.42393874705752654,1.42162461783388e-172
Crip2,0.4152225256702213,1.4133456039744027e-164
Cd34,0.4147948723367558,3.2994161004466667e-164
Ckb,0.4068469984035522,3.361071806186793e-157
Clec3b,0.40176454238367426,8.442390444873832e-153
Tmsb4x,0.40141336465510086,1.6357669338144412e-152
Ppp1r14b,0.3985302270366087,4.466055670753392e-150
Fhl1,0.3926004784513366,3.835050961729975e-145
Fn1,0.386159841951523,6.405328937407095e-140
Ugp2,0.3846743764026592,9.957947913020175e-139
Tmem100,0.3819384639462619,1.4939910893272178e-136
Cavin3,0.3817675612186039,2.0008725359648067e-136
Emilin2,0.3817309942104437,2.0943832595610096e-136
Adgrg2,0.37835745405241267,9.689364165494452e-134
Anxa5,0.3761897061154393,4.76216771794312e-132
Anxa2,0.37585381088009734,8.536219096546156e-132
Creb5,0.37288440679613855,1.683969016075638e-129
Efhd1,0.3723965926937832,3.851089291540026e-129
Anxa8,0.372206410694262,5.29478003199715e-129
Tppp3,0.3653594883342458,7.674247310863024e-124
Aspn,0.3632001912570043,3.0858889553659857e-122
Bag1,0.3619678652149945,2.4887867276053714e-121
Fbn1,0.35669999929653023,1.6569118900207593e-117
Ackr3,0.3560044023801317,5.2033386868127026e-117
S100a4,0.3484214314683729,1.2554382225144684e-111
Pcsk6,0.34561681457684934,1.10711630109033e-109
Tspo,0.3453272783532886,1.710679025804902e-109
Prelp,0.34123563944960494,1.0193145903287746e-106
Htra3,0.34056722526294236,2.8391174141649553e-106
Loxl2,0.33900694509735424,3.2100842069077093e-105
Uqcc2,0.3378575048867457,1.8924326299670106e-104
Glud1,0.33706642442207374,6.363793860313791e-104
Sdc2,0.3334925779738274,1.448323677626272e-101
Olfml2a,0.32906182513931964,1.0944732201663622e-98
Cadm3,0.3276886040521654,8.41441310307882e-98
Cd109,0.3258179019692913,1.3351861639533672e-96
Rhoa,0.3252046515286721,3.2674271540536454e-96
Islr2,0.3235195459938687,3.844796317478137e-95
Capg,0.3229784961367011,8.398517865349817e-95
Sbsn,0.32196631155753813,3.5342584449427867e-94
Anxa3,0.32047778814292294,3.0046322441294712e-93
Anxa1,0.31903548061640685,2.381811407521185e-92
Ptms,0.31838611982079984,5.941451084294944e-92
Cdh13,0.3176195073294604,1.7644618803425497e-91
Myadm,0.3149376779982478,7.709743373450899e-90
Dpysl2,0.30953818541930334,1.370553292397767e-86
Dbn1,0.3067742023083725,6.030683153860999e-85
Itgb3,0.30673186060273255,6.339716236200098e-85
Ly6c1,0.30597057590609633,1.7776833607541232e-84
Mgll,0.3057544350716617,2.3676393209449664e-84
Pdgfc,0.3032414796045932,7.007713766767907e-83
Oaf,0.3030430409716779,9.016675203272924e-83
Cyb5r3,0.30265246721040845,1.5020986992263098e-82
Mfap5,0.30120105849218565,1.0272344338251655e-81
Rap1a,0.2981284733629934,5.891624736553659e-80
Zfp385a,0.29795352599474956,7.316633909364065e-80
Dpp4,0.2968702435347202,3.018579414943281e-79
Ly6a,0.29506186962397496,3.1413825101953374e-78
Mustn1,0.2931044238696285,3.894061326747935e-77
Cavin1,0.29238545408478994,9.645638299138399e-77
Myl6,0.29183170515224643,1.952836273239237e-76
Aqp1,0.2899778067345998,2.065395521053583e-75
Dstn,0.2895261222217231,3.6449165341630467e-75
Ntn4,0.2891569809213606,5.789140641060339e-75
Vcan,0.28889708099822614,7.950370300581813e-75
Lamc1,0.28798113619992316,2.5028396900571192e-74
Cd248,0.2869693471939922,8.796373348977416e-74
Myof,0.2804145703344817,2.908859687328891e-70
Prss23,0.2803515726531529,3.1233158069545276e-70
Ostf1,0.27825708990337755,3.923196817743653e-69
Dap,0.2776129305773815,8.452293969415974e-69
Tnxb,0.27747645469906845,9.909817952681372e-69
Calm1,0.27726926335786567,1.2652130374784509e-68
Islr,0.2760514922873912,5.411224228177949e-68
Col5a3,0.27535543085757175,1.238467942751998e-67
Ecm1,0.27519717068385885,1.4800040044880827e-67
Serpinb6a,0.2746203421667954,2.9139478742445404e-67
Stxbp6,0.2744253856772171,3.655985667821197e-67
Clic1,0.2735613620528205,1.0154299554056574e-66
Scara5,0.2728428453348291,2.3654247180427946e-66
Smim14,0.27187001023444257,7.337549148228159e-66
Capn2,0.27168561692723164,9.021424814314156e-66
Gpx1,0.27045111554436135,3.800136227855942e-65
Agpat4,0.26745216046377707,1.2091985109074466e-63
Mcub,0.26696700178791216,2.1052778063508122e-63
Gm17455,0.2665499188936684,3.3687703205009627e-63
Flnb,0.2664337193678848,3.831293639005362e-63
Lrrn4cl,0.26607053953287063,5.785359683452445e-63
Ackr1,0.26597712431660414,6.37749218632325e-63
Prrt4,0.2658252697619567,7.553768388118781e-63
Lama4,0.26580010369172274,7.737588673231326e-63
Actg1,0.2650255115988619,1.8590208208397335e-62
Actr3,0.26484058525733967,2.2850903141515105e-62
Ehd2,0.2629293291708918,1.9852463167213813e-61
Wnt10b,0.26247037310744764,3.319111324231284e-61
Cd9,0.26215096506106317,4.71491026302543e-61
Pamr1,0.2616334676654501,8.40445652222107e-61
Ybx3,0.26099001722657206,1.7152739513905188e-60
Atp2b4,0.2608777668171651,1.9364702685270182e-60
Prg4,0.2591656223988169,1.2918882842156394e-59
Tmem43,0.2585979071181134,2.4053113557893914e-59
Medag,0.25723026556739387,1.0768056765791311e-58
Pdlim1,0.25595380202820583,4.3220413167820864e-58
Lrrc15,0.25544240337631996,7.499431645292604e-58
Gnpnat1,0.2550274692707224,1.1698474298737238e-57
Ptgis,0.25500916187818123,1.1884122683940577e-57
Tns1,0.2547705066789661,1.5287200941859036e-57
Ptgs1,0.2541919218593998,2.857427058775978e-57
Uap1,0.2527499672587602,1.3456180221201898e-56
Txndc5,0.25272979894380027,1.369600580053085e-56
Lrrfip2,0.2516922405807142,4.152431252214462e-56
Avpi1,0.2511317821612969,7.484879130222544e-56
Fyn,0.25061643984175747,1.2838275274049431e-55
Lgi3,0.2490192779521919,6.978387015905329e-55
Cav1,0.24894873799061554,7.491104109652577e-55
Wnt2,0.2483254834683895,1.443802918273363e-54
Il18,0.24798703982235137,2.0564989145245887e-54
Fstl1,0.2470274833386147,5.607451227282048e-54
Ret,0.24635981336742524,1.121292692823625e-53
Tgfbr2,0.24571066725677654,2.1945071101913196e-53
Klhdc8a,0.24508099987411944,4.216070313502985e-53
Cd81,0.24497428488930306,4.693751384182278e-53
Atp2b1,0.24418597568378178,1.0606808110905891e-52
Pde8a,0.24408649500948132,1.1715157992556766e-52
1700019D03Rik,0.2427368174232195,4.689584451938044e-52
Galnt1,0.2419084121117646,1.0907205209470269e-51
Slco3a1,0.24177785889197437,1.2423923676755507e-51
Arnt2,0.2416426545457159,1.421815213307686e-51
Cthrc1,0.24130913980919003,1.9931177469715948e-51
Nupr1,0.24116376600042938,2.3041389147273586e-51
Msn,0.24017203946213456,6.311621250125801e-51
Rnh1,0.23964019580737606,1.0756817038427029e-50
Tmbim1,0.236964152674023,1.5747256238916243e-49
Prr13,0.23675759199163168,1.92966752693766e-49
Tpm2,0.23577431293802564,5.095777948128003e-49
P2ry10b,0.2351712013969783,9.186595265268788e-49
Pgf,0.23489361470428405,1.2016786926385679e-48
Heg1,0.2342660815366771,2.2215650477271157e-48
Psmd8,0.23281894269721315,9.08749841129294e-48
Ndrg4,0.2313582182354173,3.7548653304098907e-47
Antxr2,0.2303817431177672,9.638944984905803e-47
Arhgdia,0.22946085044040107,2.3344982544612775e-46
S100a6,0.22931300291652956,2.675014205120581e-46
Gm15675,0.2293072366845288,2.681203497202706e-46
Tacc2,0.2290244629174077,3.510089087675114e-46
Plec,0.22713699000310103,2.1307855380997936e-45
Pcolce2,0.2258690810190561,7.028383570623099e-45
Hmgn3,0.22569710095618956,8.246704326235593e-45
Higd1a,0.22556832995644444,9.287123989191181e-45
Rora,0.22546981474639916,1.0162880683878532e-44
Lims2,0.22477746665548107,1.9365336716340637e-44
Calu,0.2240781005752873,3.7178313472443134e-44
Inhba,0.2236857936782007,5.356924003658625e-44
Ramp2,0.22359016456033523,5.841483236186021e-44
Ifi27l2a,0.22343207035123622,6.732913900919816e-44
Spsb4,0.22330184023208224,7.583016183471588e-44
Duox1,0.22275392886240192,1.2579321214764563e-43
Gngt2,0.2214550966532464,4.187006416996021e-43
Cast,0.22139080476591272,4.430865362845989e-43
Dlgap4,0.22133743449217755,4.6416533505470956e-43
Fam167a,0.2212081056969769,5.216950769354876e-43
Fam126a,0.22086410774816737,7.1512423725119826e-43
Ufm1,0.220761736928391,7.81451511334679e-43
F2rl1,0.2204382712589415,1.05035745312717e-42
Ppa1,0.21996589719984277,1.613734404729786e-42
Ndfip1,0.21969332404962835,2.0614447045897533e-42
Sfxn3,0.21918045189327426,3.291263737410157e-42
Hspg2,0.21912917029148954,3.43966214204716e-42
Klf3,0.21898692091109925,3.907114488944451e-42
Rab27b,0.21738398239799328,1.661317078509238e-41
Ahnak,0.21738107418630692,1.661317078509238e-41
Sema3e,0.217050640005392,2.217052688067471e-41
Fam129a,0.2166961887535031,3.047946739093388e-41
Cdc42ep2,0.21661833476098982,3.261279132171953e-41
Dock11,0.21661416245157034,3.2644938485836277e-41
Antxr1,0.215447884962822,9.193122274761353e-41
Thy1,0.21350286626377252,5.140055000621133e-40
Rac1,0.21294822887042225,8.325879427781432e-40
Camkk1,0.21213103757350432,1.689990280002683e-39
Disp1,0.21211804615851523,1.7050417485154944e-39
Sh3bgrl3,0.21152312229746514,2.8523017245661212e-39
Diaph1,0.2112071058239154,3.7573452308091504e-39
Tgfbi,0.21090229868120508,4.898849135570459e-39
Fermt2,0.2102639908833349,8.48512610291032e-39
Pkd1,0.20962097207411334,1.4843194741858743e-38
Vit,0.20959406385710921,1.5157161084780845e-38
Capza2,0.2090265154800601,2.46575264066529e-38
P3h4,0.20884764201310388,2.8732043899209893e-38
Arpc2,0.20882288270081628,2.928320005224728e-38
Ociad2,0.20873606669335898,3.149713687960483e-38
Adamts14,0.20859763865820888,3.5428856978139337e-38
Capns1,0.20833380267344806,4.4312296054976977e-38
0610012G03Rik,0.2082084808843729,4.926968475819907e-38
Filip1l,0.2077467840045402,7.307978849815218e-38
Nptn,0.20744428755136282,9.464134175138844e-38
Wls,0.20727899224387805,1.0859708493947857e-37
Nhsl1,0.20667383805894968,1.8053605995221095e-37
Cd44,0.20660735919832388,1.906787608651462e-37
Itgb5,0.20578592295468015,3.8163936225914e-37
Pthlh,0.20525258275604094,5.9872594734116745e-37
Tnfrsf11b,0.2050404600715646,7.155634944142836e-37
Fez1,0.20501560264329893,7.291379243228684e-37
Gas2l1,0.20492791319240597,7.819249336243407e-37
Bok,0.2041248904899142,1.542169725371942e-36
Sap30l,0.20399474481121205,1.7177728626309994e-36
Adamtsl5,0.20386336128331686,1.9107833856146537e-36
Osbpl3,0.2037148355300795,2.161373341025246e-36
Tob1,0.2034753071137407,2.6276120432837965e-36
Ramp1,0.20346721784661925,2.6395285218814047e-36
Pgls,0.2032910370841155,3.0553821074904696e-36
Calcrl,0.2026649743833561,5.163018312233113e-36
Adgrd1,0.20259212489361064,5.476307057074329e-36
Cspg4,0.20254442823144814,5.687118471571486e-36
Procr,0.20238464777055545,6.488479147625916e-36
Pi16,0.20235939111606968,6.612386484817703e-36
Ppp1ca,0.20139110388439033,1.4764419172990705e-35
Dpysl3,0.20129136926590657,1.5973313706786597e-35
Gnb2,0.20076591083936404,2.4521580589848085e-35
Guk1,0.20059000807593397,2.825630936702125e-35
Ino80c,0.20056978003758383,2.8671680547984756e-35
Vamp8,0.200501590834787,3.0275374040262585e-35
Wnt9a,0.20025718454329164,3.691950096830819e-35
Camk1d,0.19979112162786125,5.38379032610611e-35
Duoxa1,0.1997488853740902,5.563071427859341e-35
Ssc5d,0.19964984674692376,6.024632112017412e-35
Pfkp,0.1989342385184535,1.082424695570165e-34
Bmp6,0.19815872714314278,2.0292302173282777e-34
Psd3,0.19795303118494792,2.396552784864864e-34
Rala,0.19725248011413152,4.239160545271118e-34
Efna5,0.19722863999945434,4.313208230326266e-34
Ddah2,0.19622419658792584,9.659392838967474e-34
Cib1,0.196200888785916,9.823051159607576e-34
S100a11,0.19562599607541273,1.5579168776321123e-33
Plp2,0.1950267324023466,2.5108798432312577e-33
Itih5,0.19454445338743498,3.6856676896065076e-33
Ephx1,0.1943872022733828,4.173096737231919e-33
Chmp2a,0.19438366368074597,4.176354819407407e-33
Rab21,0.1938209957674749,6.515465677687508e-33
Ccn3,0.19348720043176823,8.473215704284374e-33
Hras,0.19313931258848407,1.1160932920625556e-32
AA467197,0.19313352472913914,1.1189793032438776e-32
Amotl1,0.19287720182095638,1.3696146158494418e-32
Poglut3,0.19268627632041962,1.5910126286371901e-32
Ehd1,0.1922631199084179,2.2040976451520058e-32
Cd80,0.1919527628495644,2.8073668419229906e-32
Suox,0.1919383240654454,2.833995083692296e-32
