gene,T-FAP_1_corr,T-FAP_2_corr,regulons
Gdf10,0.709,-0.07,"Junb(+), Klf9(+)"
Il6,0.503,0.169,Junb(+)
Steap4,0.487,0.264,"Egr1(+), Junb(+)"
Lpl,0.47,0.03,Cebpd(+)
Icam1,0.45,0.111,Klf9(+)
Selenop,0.445,0.073,Jund(+)
Nfib,0.395,0.046,"Junb(+), Klf9(+)"
Tnfsf13b,0.387,0.051,Junb(+)
Cst3,0.384,-0.054,Jund(+)
Id3,0.375,0.108,"Cebpd(+), Jund(+), Klf9(+)"
Slc38a2,0.366,0.085,"Fosb(+), Junb(+)"
Junb,0.366,0.129,Atf3(+)
Gem,0.362,0.133,"Jund(+), Junb(+)"
Cebpb,0.361,0.26,"Cebpd(+), Junb(+), Nfkb1(+)"
Cebpd,0.351,0.129,Atf3(+)
Il11ra1,0.348,0.206,Jund(+)
Smoc2,0.343,0.298,Jund(+)
Mt1,0.34,0.194,"Jund(+), Junb(+)"
Cxcl12,0.339,0.463,Jun(+)
Kitl,0.339,0.051,Junb(+)
Cd302,0.333,0.104,Klf9(+)
Fosb,0.326,0.227,"Jund(+), Fosb(+), Jun(+), Nfkb1(+), Atf3(+)"
Id2,0.321,-0.022,Egr1(+)
Zfp36l1,0.321,0.167,"Irf1(+), Jund(+), Fosb(+), Junb(+), Atf3(+), Klf9(+), Klf6(+)"
Fgf7,0.314,0.288,Junb(+)
Zfp36,0.314,0.065,"Irf1(+), Jun(+), Fos(+), Atf3(+)"
Pltp,0.313,-0.067,Egr1(+)
Gadd45g,0.305,0.041,"Jun(+), Fos(+)"
Socs3,0.305,0.112,"Jun(+), Atf3(+), Klf6(+)"
Gbp5,0.303,0.027,Junb(+)
Nr4a1,0.298,0.121,"Egr1(+), Fosb(+), Junb(+), Klf9(+)"
Dcn,0.295,-0.108,Jund(+)
Il6st,0.295,0.29,Fosb(+)
Tspan11,0.295,0.192,Junb(+)
Colec12,0.293,0.152,Fosb(+)
Igfbp3,0.291,-0.013,Egr1(+)
Cpxm1,0.29,0.18,Junb(+)
Igfbp7,0.287,0.15,Jund(+)
Mmp3,0.287,0.313,Jund(+)
Adamts1,0.287,0.022,"Jund(+), Klf9(+), Klf6(+)"
Sfrp4,0.286,-0.117,"Jund(+), Junb(+)"
Serping1,0.285,0.236,Junb(+)
C1ra,0.282,0.268,Cebpd(+)
Fmo1,0.278,-0.013,Atf3(+)
Btg2,0.272,0.147,"Junb(+), Jun(+), Atf3(+)"
Slfn5,0.27,0.017,Junb(+)
Egflam,0.27,-0.038,Egr1(+)
Nr4a3,0.255,-0.007,Nfkb1(+)
Vcam1,0.254,0.297,Nfkb1(+)
Myc,0.251,0.156,"Egr1(+), Jund(+), Klf9(+), Klf6(+)"
Rnf122,0.25,0.056,Cebpd(+)
Pim1,0.249,0.144,Klf9(+)
Mt2,0.248,0.244,"Cebpd(+), Atf3(+)"
Rps29,0.246,0.113,Junb(+)
Gadd45b,0.245,0.096,"Egr1(+), Jund(+), Junb(+), Klf9(+)"
Usp53,0.244,0.09,Klf6(+)
Fst,0.243,0.165,Klf9(+)
Ndrg2,0.24,-0.013,Klf9(+)
Camk2n1,0.234,-0.118,Klf9(+)
Irs2,0.231,0.196,"Klf9(+), Klf6(+)"
Igf1,0.229,0.326,"Jund(+), Junb(+)"
Jun,0.227,0.17,"Irf1(+), Fos(+), Atf3(+)"
Bag3,0.223,0.083,"Egr1(+), Jund(+), Fosb(+), Nfkb1(+), Atf3(+)"
Zfp36l2,0.222,0.157,"Egr1(+), Fos(+)"
Adamts4,0.215,0.07,"Jund(+), Nfkb1(+)"
Casp4,0.214,0.14,Junb(+)
Apod,0.214,0.266,Jund(+)
Hspa1b,0.214,-0.023,Fos(+)
Hgf,0.208,0.038,Klf9(+)
Sik1,0.208,0.068,Junb(+)
Wnt5a,0.208,0.034,Jund(+)
Pi15,0.207,-0.051,Klf9(+)
Pnp,0.206,0.144,Junb(+)
Rab20,0.203,0.129,Nfkb1(+)
Epha4,0.202,0.044,Klf9(+)
Scn7a,0.191,0.258,Jund(+)
Cxcl1,0.179,0.233,"Junb(+), Nfkb1(+), Klf9(+)"
Trib1,0.174,0.244,"Junb(+), Atf3(+)"
Bdnf,0.168,0.269,Klf6(+)
Ptgs2,0.161,0.195,"Junb(+), Nfkb1(+)"
Sfrp1,0.147,0.513,Fosb(+)
Gas5,0.146,0.237,"Egr1(+), Junb(+), Nfkb1(+)"
Gpm6b,0.144,0.303,"Jund(+), Fosb(+), Junb(+)"
Pnrc1,0.141,0.193,"Fosb(+), Atf3(+)"
Ier5,0.125,0.198,"Nfkb1(+), Klf9(+)"
Slc1a3,0.123,0.387,Jun(+)
Aebp1,0.122,0.207,Atf3(+)
Ptx3,0.121,0.392,"Junb(+), Nfkb1(+), Klf9(+)"
Med13l,0.115,0.196,"Nfkb1(+), Klf9(+)"
Mycbp2,0.105,0.256,Klf9(+)
Fth1,0.104,0.267,Jund(+)
Mme,0.102,0.254,Klf6(+)
C3,0.098,0.389,Junb(+)
Rnf19b,0.097,0.23,"Jund(+), Nfkb1(+)"
Top1,0.081,0.216,Nfkb1(+)
Cyp1b1,0.079,0.212,Nfkb1(+)
Hs2st1,0.076,0.222,"Egr1(+), Nfkb1(+)"
Emb,0.074,0.419,Fosb(+)
Hspa8,0.066,0.218,"Nfkb1(+), Atf3(+), Klf9(+), Klf6(+)"
Lamp2,0.061,0.194,Jund(+)
Sfrp2,0.059,0.385,Jun(+)
Angptl4,0.045,0.518,Junb(+)
Serpina3n,0.043,0.391,Jund(+)
Ltbp3,0.04,0.191,Cebpd(+)
Chst2,0.036,0.199,"Egr1(+), Klf6(+)"
Gpx3,0.023,0.295,Jund(+)
Ptger4,0.015,0.258,Klf9(+)
Runx2,0.01,0.254,Klf6(+)
Sgk1,0.001,0.378,"Jund(+), Fosb(+), Junb(+), Klf9(+)"
Aprt,0.001,0.198,Jund(+)
Adgrb3,-0.022,0.204,Klf6(+)
Rpl32,-0.023,0.189,Jund(+)
Slc16a1,-0.036,0.35,Klf6(+)
Acsl4,-0.04,0.211,Nfkb1(+)
Ppp3ca,-0.048,0.194,"Atf3(+), Klf9(+)"
Runx1,-0.049,0.281,Nfkb1(+)
Neo1,-0.063,0.233,Klf9(+)
Rgs3,-0.123,0.293,Egr1(+)
Enah,-0.157,0.201,Klf6(+)
