gene,LASSO,Boruta,XGBoost,n_methods,junb_jund_klf9_target,tspc_marker
C3,True,True,True,3,True,False
Camk2n1,True,True,True,3,True,False
Cpxm1,True,True,True,3,True,False
Fth1,True,True,True,3,True,False
Igfbp7,True,True,True,3,True,False
Nfib,True,True,True,3,True,False
Ptx3,True,True,True,3,True,False
Rps29,True,True,True,3,True,False
Scn7a,True,True,True,3,True,False
Serping1,True,True,True,3,True,False
Slc38a2,True,True,True,3,True,False
Slfn5,True,True,True,3,True,False
Steap4,True,True,True,3,True,False
Zfp36l1,True,True,True,3,True,False
Aebp1,True,True,True,3,False,False
C1ra,True,True,True,3,False,False
Cebpd,True,True,True,3,False,False
Cxcl12,True,True,True,3,False,False
Lpl,True,True,True,3,False,False
Sema3c,True,True,True,3,False,True
Sfrp2,True,True,True,3,False,False
Tppp3,True,True,True,3,False,True
Zfp36,True,True,True,3,False,False
Adamts1,True,False,True,2,True,False
Apod,True,True,False,2,True,False
Cxcl1,False,True,True,2,True,False
Dcn,True,True,False,2,True,False
Fosb,True,True,False,2,True,False
Fst,False,True,True,2,True,False
Gpx3,False,True,True,2,True,False
Hspa8,True,True,False,2,True,False
Il11ra1,False,True,True,2,True,False
Kitl,False,True,True,2,True,False
Mmp3,True,True,False,2,True,False
Ptgs2,True,True,False,2,True,False
Rpl32,True,True,False,2,True,False
Selenop,True,True,False,2,True,False
Sfrp4,True,True,False,2,True,False
Wnt5a,False,True,True,2,True,False
Acsl4,True,False,True,2,False,False
Cd34,True,True,False,2,False,True
Igfbp6,True,True,False,2,False,True
Pnrc1,True,True,False,2,False,False
Prg4,False,True,True,2,False,True
Angptl4,True,False,False,1,True,False
Aprt,True,False,False,1,True,False
Casp4,True,False,False,1,True,False
Cd302,False,False,True,1,True,False
Cebpb,False,True,False,1,True,False
Cst3,False,True,False,1,True,False
Epha4,True,False,False,1,True,False
Gbp5,True,False,False,1,True,False
Gem,True,False,False,1,True,False
Gpm6b,True,False,False,1,True,False
Icam1,False,True,False,1,True,False
Id3,True,False,False,1,True,False
Myc,True,False,False,1,True,False
Mycbp2,True,False,False,1,True,False
Nr4a1,True,False,False,1,True,False
Pi15,True,False,False,1,True,False
Pnp,True,False,False,1,True,False
Ptger4,True,False,False,1,True,False
Sgk1,True,False,False,1,True,False
Sik1,True,False,False,1,True,False
Smoc2,False,True,False,1,True,False
Cyp1b1,False,True,False,1,False,False
Egflam,True,False,False,1,False,False
Enah,True,False,False,1,False,False
Fmo1,True,False,False,1,False,False
Hspa1b,True,False,False,1,False,False
Il6st,True,False,False,1,False,False
Jun,False,True,False,1,False,False
Junb,False,True,False,1,False,False
Ltbp3,True,False,False,1,False,False
Mme,False,True,False,1,False,False
Pltp,True,False,False,1,False,False
Rnf122,True,False,False,1,False,False
Runx2,True,False,False,1,False,False
Sfrp1,False,True,False,1,False,False
Slc16a1,True,False,False,1,False,False
Slc1a3,True,False,False,1,False,False
Socs3,False,True,False,1,False,False
Top1,True,False,False,1,False,False
Adamts4,False,False,False,0,True,False
Bag3,False,False,False,0,True,False
Btg2,False,False,False,0,True,False
Fgf7,False,False,False,0,True,False
Gadd45b,False,False,False,0,True,False
Gas5,False,False,False,0,True,False
Gdf10,False,False,False,0,True,False
Hgf,False,False,False,0,True,False
Ier5,False,False,False,0,True,False
Igf1,False,False,False,0,True,False
Il6,False,False,False,0,True,False
Irs2,False,False,False,0,True,False
Lamp2,False,False,False,0,True,False
Med13l,False,False,False,0,True,False
Mt1,False,False,False,0,True,False
Ndrg2,False,False,False,0,True,False
Neo1,False,False,False,0,True,False
Pim1,False,False,False,0,True,False
Ppp3ca,False,False,False,0,True,False
Rnf19b,False,False,False,0,True,False
Serpina3n,False,False,False,0,True,False
Tnfsf13b,False,False,False,0,True,False
Trib1,False,False,False,0,True,False
Tspan11,False,False,False,0,True,False
Adgrb3,False,False,False,0,False,False
Bdnf,False,False,False,0,False,False
Chst2,False,False,False,0,False,False
Colec12,False,False,False,0,False,False
Emb,False,False,False,0,False,False
Gadd45g,False,False,False,0,False,False
Hs2st1,False,False,False,0,False,False
Id2,False,False,False,0,False,False
Igfbp3,False,False,False,0,False,False
Mt2,False,False,False,0,False,False
Nr4a3,False,False,False,0,False,False
Rab20,False,False,False,0,False,False
Rgs3,False,False,False,0,False,False
Runx1,False,False,False,0,False,False
Usp53,False,False,False,0,False,False
Vcam1,False,False,False,0,False,False
Zfp36l2,False,False,False,0,False,False
