source,target,ligand_complex,receptor_complex,rank_innervated,rank_denervated,delta_rank
Tenocyte,TSPC,Col1a1,Cd44,2.0825384725158346e-13,1.9793870483163632e-13,-1.0315142419947141e-14
Tenogenic-progenitor,TSPC,Col1a1,Cd44,1.6660013849042537e-12,1.5834821705332852e-12,-8.251921437096853e-14
Tenocyte,TSPC,Col1a2,Cd44,5.622655472310959e-12,5.344159620645495e-12,-2.7849585166546405e-13
Tenogenic-progenitor,TSPC,Col1a2,Cd44,1.3327540789499407e-11,1.8433171022420207e-11,5.1056302329208e-12
T-FAP,TSPC,Col1a1,Cd44,2.6029893837172052e-11,4.369229718707406e-11,1.7662403349902005e-11
T-FAP,TSPC,Col1a2,Cd44,4.497886293670614e-11,1.0133231115612504e-10,5.6353448219418897e-11
Stromal,TSPC,Col1a1,Cd44,7.142350823015364e-11,6.220950627088755e-11,-9.214001959266095e-12
Stromal_other,TSPC,Col1a1,Cd44,1.516430901805972e-10,5.060020303698489e-09,4.908377213517892e-09
Stromal,TSPC,Col1a2,Cd44,1.5179562707037055e-10,1.87472044353227e-10,3.5676417282856446e-11
TSPC,TSPC,Col1a1,Cd44,4.311187622274613e-10,7.772519389189977e-09,7.341400626962516e-09
Tenocyte,Macrophage,Col1a1,Cd44,4.574368374229505e-10,2.634107160465819e-10,-1.940261213763686e-10
Tenogenic-progenitor,Macrophage,Col1a1,Cd44,5.713174929879271e-10,9.722029550926226e-10,4.008854621046955e-10
Tenocyte,Macrophage,Col1a2,Cd44,1.0228623348637535e-09,1.1540381141693567e-09,1.3117577930560315e-10
TSPC,TSPC,Col1a2,Cd44,1.5421211303173231e-09,2.1322759480448742e-08,1.978063835013142e-08
Tenogenic-progenitor,Macrophage,Col1a2,Cd44,1.6654723089528013e-09,3.4774619896405363e-09,1.811989680687735e-09
T-FAP,Macrophage,Col1a1,Cd44,1.9279583554543594e-09,3.894270398444187e-09,1.9663120429898274e-09
Stromal_other,TSPC,Col1a2,Cd44,2.139809926514919e-09,3.455049391546839e-08,3.241068398895347e-08
T-FAP,Macrophage,Col1a2,Cd44,2.877732984705085e-09,6.482567687942667e-09,3.6048347032375817e-09
Stromal,Macrophage,Col1a1,Cd44,3.2525885613490857e-09,5.34165658822824e-09,2.0890680268791545e-09
Stromal,Macrophage,Col1a2,Cd44,5.0765940407949896e-09,7.109374748248749e-09,2.0327807074537596e-09
TSPC,TSPC,Fn1,Cd44,5.614330301763543e-09,2.1905933474071935e-07,2.134450044389558e-07
Tenocyte,Endothelial,Col1a1,Cd93,9.710291776080416e-09,1.9790780319685539e-10,-9.51238397288356e-09
TSPC,TSPC,Vim,Cd44,1.0319401125921645e-08,1.6187956749825835e-06,1.6084762738566617e-06
Endothelial,TSPC,Vim,Cd44,1.5402460209234895e-08,2.3182673385083267e-06,2.302864878299092e-06
Stromal_other,Macrophage,Col1a1,Cd44,1.801211879917789e-08,8.523362560705265e-08,6.722150680787477e-08
Tenocyte,Stromal_other,Col1a1,Cd44,1.896240037227731e-08,4.061155329102987e-08,2.1649152918752563e-08
Tenogenic-progenitor,Endothelial,Col1a1,Cd93,2.0254503308326847e-08,4.3478081332628676e-10,-1.981972249500056e-08
T-FAP,Smooth_muscle,Col3a1,Itga1_Itgb1,2.160399201920567e-08,9.229421420010174e-09,-1.2374570599195498e-08
Tenocyte,Smooth_muscle,Col1a1,Itga1_Itgb1,2.301211194970352e-08,4.343115390403949e-09,-1.8668996559299573e-08
Tenocyte,Endothelial,Col1a2,Cd93,2.448010845643076e-08,5.430213257117984e-10,-2.393708713071896e-08
Tenocyte,Stromal,Col1a1,Cd44,2.6009226807818476e-08,1.057625886194908e-06,1.0316166593870894e-06
Macrophage,TSPC,Apoe,Sdc2,2.637467891642019e-08,8.696067757341803e-07,8.432320968177601e-07
Tenogenic-progenitor,Endothelial,Col1a2,Cd93,2.7600712184118405e-08,1.3572376678142686e-09,-2.6243474516304136e-08
Tenogenic-progenitor,Stromal_other,Col1a1,Cd44,3.097576429156522e-08,5.946448217981228e-08,2.848871788824706e-08
TSPC,Macrophage,Col1a1,Cd44,3.1384471533322675e-08,1.8290046198209898e-07,1.515159904487763e-07
Stromal_other,TSPC,Vim,Cd44,3.272890785231465e-08,1.6370310702117297e-06,1.604302162359415e-06
T-FAP,Endothelial,Col1a1,Cd93,3.653721957555938e-08,1.5829877443767905e-09,-3.495423183118259e-08
Smooth_muscle,TSPC,Vim,Cd44,3.849034468388085e-08,1.0471888347650381e-05,1.0433398002966501e-05
Stromal,Smooth_muscle,Col3a1,Itga1_Itgb1,4.0591963139247765e-08,1.3632667824275716e-08,-2.695929531497205e-08
Tenogenic-progenitor,Smooth_muscle,Col1a1,Itga1_Itgb1,4.721962892445481e-08,1.0854321669673008e-08,-3.63653072547818e-08
Tenogenic-progenitor,Smooth_muscle,Col3a1,Itga1_Itgb1,4.957930825211698e-08,1.4654453091008097e-08,-3.4924855161108876e-08
TSPC,TSPC,Fn1,Sdc2,5.0130847466700015e-08,1.512216730801388e-06,1.462085883334688e-06
Tenocyte,Stromal_other,Col1a2,Cd44,5.201628988972486e-08,6.494794602669862e-08,1.293165613697376e-08
Tenocyte,TSPC,Fn1,Cd44,5.3841362883770614e-08,1.8718456204678697e-07,1.3334319916301635e-07
T-FAP,Endothelial,Col1a2,Cd93,5.4531817871199015e-08,3.352923608966818e-09,-5.11788942622322e-08
Stromal,Endothelial,Col1a1,Cd93,5.7127136142280574e-08,2.1068835676305867e-09,-5.502025257464999e-08
Macrophage,T-FAP,Apoe,Lrp1,5.974341319240435e-08,2.439139213485293e-07,1.8417050815612493e-07
