source,target,ligand_complex,receptor_complex,magnitude_rank_innervated,cellphone_pvals_innervated,cellchat_pvals_innervated,magnitude_rank_denervated,cellphone_pvals_denervated,cellchat_pvals_denervated,delta_rank
Tenocyte,TSPC,Col1a1,Cd44,2.0825384725158346e-13,0.0,0.0,1.9793870483163632e-13,0.0,0.0,-1.0315142419947141e-14
Tenogenic-progenitor,TSPC,Col1a1,Cd44,1.6660013849042537e-12,0.0,0.0,1.5834821705332852e-12,0.0,0.0,-8.251921437096853e-14
Tenocyte,TSPC,Col1a2,Cd44,5.622655472310959e-12,0.0,0.0,5.344159620645495e-12,0.0,0.0,-2.7849585166546405e-13
Tenogenic-progenitor,TSPC,Col1a2,Cd44,1.3327540789499407e-11,0.0,0.0,1.8433171022420207e-11,0.0,0.0,5.1056302329208e-12
T-FAP,TSPC,Col1a1,Cd44,2.6029893837172052e-11,0.0,0.0,4.369229718707406e-11,0.0,0.0,1.7662403349902005e-11
T-FAP,TSPC,Col1a2,Cd44,4.497886293670614e-11,0.0,0.0,1.0133231115612504e-10,0.0,0.0,5.6353448219418897e-11
Stromal,TSPC,Col1a1,Cd44,7.142350823015364e-11,0.0,0.0,6.220950627088755e-11,0.0,0.0,-9.214001959266095e-12
Stromal_other,TSPC,Col1a1,Cd44,1.516430901805972e-10,0.0,0.0,5.060020303698489e-09,0.0,0.0,4.908377213517892e-09
Stromal,TSPC,Col1a2,Cd44,1.5179562707037055e-10,0.0,0.0,1.87472044353227e-10,0.0,0.0,3.5676417282856446e-11
TSPC,TSPC,Col1a1,Cd44,4.311187622274613e-10,0.0,0.0,7.772519389189977e-09,0.0,0.0,7.341400626962516e-09
TSPC,TSPC,Col1a2,Cd44,1.5421211303173231e-09,0.0,0.0,2.1322759480448742e-08,0.0,0.0,1.978063835013142e-08
Stromal_other,TSPC,Col1a2,Cd44,2.139809926514919e-09,0.0,0.0,3.455049391546839e-08,0.0,0.0,3.241068398895347e-08
TSPC,TSPC,Fn1,Cd44,5.614330301763543e-09,0.0,0.0,2.1905933474071935e-07,0.0,0.0,2.134450044389558e-07
TSPC,TSPC,Vim,Cd44,1.0319401125921645e-08,0.0,0.0,1.6187956749825835e-06,0.0,0.0,1.6084762738566617e-06
Endothelial,TSPC,Vim,Cd44,1.5402460209234895e-08,0.0,0.0,2.3182673385083267e-06,0.0,0.0,2.302864878299092e-06
