TF,harvey_targets,harvey_hits,harvey_hit_genes,harvey_p,cherief_targets,cherief_hits,cherief_hit_genes,cherief_p,combined_p_fisher,q_value_BH
Fos,12,1,Pdgfra,0.01009582594651771,88,0,,1.0,0.056492538980794656,0.6684914464251372
Egr1,655,2,"Nrp1, Pdgfra",0.10399971336265498,269,1,Nrp2,0.17025717792275039,0.08913219285668497,0.6684914464251372
Klf9,51,0,,1.0,517,2,"Nrp2, Pdgfra",0.04822575857644926,0.19443960296124874,0.8670699295178432
Jund,87,1,Pdgfra,0.07107076713995066,143,0,,1.0,0.2589875027031371,0.8670699295178432
Irf1,573,2,"Fzd4, Pdgfra",0.08277648625288093,26,0,,1.0,0.2890233098392811,0.8670699295178432
Fosb,591,1,Pdgfra,0.39835402262985287,22,0,,1.0,0.7650047077339055,1.0
Cebpd,16,0,,1.0,14,0,,1.0,1.0,1.0
Junb,301,0,,1.0,142,0,,1.0,1.0,1.0
Nfkb1,229,0,,1.0,278,0,,1.0,1.0,1.0
Jun,8,0,,1.0,42,0,,1.0,1.0,1.0
Atf3,154,0,,1.0,176,0,,1.0,1.0,1.0
Pbx1,7,0,,1.0,29,0,,1.0,1.0,1.0
Zfp369,46,0,,1.0,14,0,,1.0,1.0,1.0
Klf6,24,0,,1.0,352,0,,1.0,1.0,1.0
Zfx,67,0,,1.0,15,0,,1.0,1.0,1.0
