names,scores,logfoldchanges,pvals,pvals_adj
Cebpd(+),29.314266,2.636666,6.824110016156425e-189,1.0713852725365585e-186
Jund(+),28.431025,0.6966795,8.364882191125685e-178,6.566432520033663e-176
Junb(+),27.267511,1.1268437,1.0304203471951505e-163,4.0443998627409653e-162
Fosb(+),26.718578,1.2705781,2.8636373997380623e-157,8.991821435177515e-156
Jun(+),26.297634,1.7832583,2.0409553003732174e-152,5.3404997026432526e-151
Egr1(+),25.893581,0.7764629,7.866042308173646e-148,1.764240917690375e-146
Atf3(+),25.695847,0.9980492,1.3007615480483088e-145,2.552744538044806e-144
Egr2(+),25.38011,1.3299277,4.181925360698978e-142,7.295136462552661e-141
Klf9(+),24.289484,0.70577973,2.532017813968001e-130,3.613879970845238e-129
Mafb(+),24.07688,1.0067433,4.3668786860905166e-128,5.713332947635093e-127
Nfia(+),23.642414,0.8070737,1.4126680547653514e-123,1.7060683430627707e-122
Nfkb1(+),21.23526,0.76300865,4.5119757728733047e-100,4.722534642274059e-99
Irf1(+),20.834347,0.8464357,2.1137705962092936e-96,2.0741373975303693e-95
Gabpa(+),19.714039,0.5493853,1.6339312207493374e-86,1.5089835391626234e-85
Hinfp(+),18.969896,0.6820902,3.0250326777095458e-80,2.6385007244466592e-79
Klf6(+),18.595524,0.3677451,3.492784630912079e-77,2.886143089753666e-76
Fos(+),17.516514,0.7794066,1.0719714453202038e-68,8.4149758457636e-68
Rel(+),16.85895,0.61800015,9.01763021470424e-64,6.741752112897932e-63
Foxp2(+),16.197683,0.8563348,5.236219116969489e-59,3.7367563698373174e-58
Irf7(+),16.084229,0.7716863,3.291294450937713e-58,2.2466662121618305e-57
Elk1(+),12.837093,0.49577385,1.0161805863908878e-37,6.381614082534776e-37
Pbx1(+),12.386636,0.80068743,3.087244231345043e-35,1.7951753493376732e-34
Fosl1(+),11.058212,0.82745343,2.0004584797807096e-28,1.1216856475913265e-27
Max(+),10.4148445,0.52371657,2.1214292339200467e-25,1.1484978956049909e-24
Tfe3(+),9.915178,0.8338758,3.5761858447594587e-23,1.87153725875745e-22
Nfyb(+),9.106957,0.83891445,8.472461295689786e-20,4.2908916884622465e-19
Irf9(+),8.626929,1.6423115,6.302115207561324e-18,3.091975273709774e-17
Foxp1(+),8.353221,0.30240372,6.642645482927012e-17,3.160288911574366e-16
Prdm16(+),8.221865,1.4180983,2.0036253714491983e-16,8.987690951929262e-16
Tcf4(+),8.129619,0.81023574,4.306423424398606e-16,1.878079104529392e-15
Foxo1(+),7.91348,0.1628676,2.502922609465592e-15,1.062050945097562e-14
E2f1(+),7.906578,0.74031585,2.645599881542086e-15,1.0930504773739672e-14
Wt1(+),7.166196,0.40776777,7.711049356990758e-13,3.1041916642244846e-12
Mecp2(+),7.1321363,0.7846232,9.882281456210362e-13,3.878795471562567e-12
Fli1(+),6.133139,1.0495634,8.616174583292789e-10,3.299364413602361e-09
Hoxd9(+),6.086848,1.0699581,1.1515544291732066e-09,4.304620128099844e-09
Stat1(+),5.773805,0.1242479,7.750098876573633e-09,2.82968726423735e-08
Tbp(+),5.6676435,1.7658795,1.447747202842315e-08,5.165825246505533e-08
Mga(+),5.580952,0.6003,2.3920518895893657e-08,8.345603259234009e-08
