names,selection_freq,mean_score
Atf3(+),1.0,-21.218248271942137
Cebpd(+),1.0,-24.179847011566164
Ebf1(+),1.0,11.502420344352721
Egr1(+),1.0,-21.36529682159424
Cux1(+),1.0,23.086151990890503
E2f1(+),1.0,-6.537979266643524
Egr2(+),1.0,-20.976847429275512
Elk1(+),1.0,-10.563348712921142
Mga(+),1.0,-4.6026883745193485
Max(+),1.0,-8.598403770923614
Maff(+),1.0,-3.745337656736374
Mafb(+),1.0,-19.871878805160524
Mafa(+),1.0,-3.4247195184230805
Nfatc3(+),1.0,-4.307600736618042
Mxd4(+),1.0,19.10572564125061
Hoxd9(+),1.0,-5.025813230276108
Hinfp(+),1.0,-15.641295890808106
Glis1(+),1.0,6.834185137748718
Hoxd8(+),1.0,-3.735906445980072
Gata6(+),1.0,-3.5413459277153017
Gabpa(+),1.0,-16.22340672969818
Foxo1(+),1.0,-6.55086688041687
Foxp1(+),1.0,-6.890728268623352
Foxp2(+),1.0,-13.293377785682678
Foxs1(+),1.0,-4.202020971775055
Fosl1(+),1.0,-9.08373152732849
Fosb(+),1.0,-22.05396717071533
Fos(+),1.0,-14.476423659324645
Fli1(+),1.0,-5.017706717252731
Rel(+),1.0,-13.915103063583373
Tcf4(+),1.0,-6.685136461257935
Tfe3(+),1.0,-8.160168755054475
Wt1(+),1.0,-5.935583536624908
Zfp369(+),1.0,-4.1476281177997585
Tfap2a(+),1.0,-3.4481029510498047
Stat1(+),1.0,-4.803104170560837
Tbp(+),1.0,-4.629863704442978
Phtf1(+),1.0,10.403356919288635
Rest(+),1.0,-3.98281307220459
Pura(+),1.0,-4.174938313961029
Prdm16(+),1.0,-6.747437744140625
Nfyb(+),1.0,-7.500965983867645
Pbx1(+),1.0,-10.211228466033935
Nfkb1(+),1.0,-17.529770140647887
Irf1(+),1.0,-17.20511278629303
Klf3(+),1.0,20.52807318687439
Klf6(+),1.0,-15.384296655654907
Jund(+),1.0,-23.49011540412903
Junb(+),1.0,-22.520070819854737
Irf9(+),1.0,-7.048898866176605
Mecp2(+),1.0,-5.877127845287323
Nfia(+),1.0,-19.50776686668396
Klf9(+),1.0,-20.050648012161254
