,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
Atf3,transfac_pro__M00691,0.06313594544711668,4.343666995881592,0.00096,1.0,gene is annotated for similar motif transfac_pro__M00513 ('V$ATF3_Q6: ATF3'; q-value = 0.00096),"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Klf9', 0.8863079626787186), ('1700056E22Rik', 0.4479008047531352), ('Sertad2', 0.4377971630096825), ('Lin7b', 0.4556361141556541), ('Usp46', 0.3927051638628195), ('9330117O12Rik', 0.4520553047174454), ('Tgfb2', 1.0030603734877497), ('Psd2', 0.4145702101890059), ('Cacna2d3', 0.6708634243762366), ('Rxra', 0.7010658657211238), ('Zfp455', 3.244342492811931), ('Hs3st3a1', 1.1192720742977806), ('Bcl11a', 0.4654460624791481), ('Il17rb', 0.6458183753551886), ('1700037C18Rik', 0.5585003673048977), ('Haus5', 4.353866669900657), ('Stim1', 1.1714520549830605), ('Loxl4', 2.43239177017453), ('Chdh', 0.9810475932952556), ('Gpr34', 0.7609262638295976), ('Phlda1', 0.5142935590618), ('Yap1', 0.4885222870292922), ('Pex5l', 0.8161367093108187), ('Dnajb1', 0.6476193139230765), ('Hspa1a', 0.7025738599052029), ('Col6a5', 0.7728643278942645), ('BB123696', 0.4900944904422556), ('Cpq', 0.4307758166038027), ('Klf15', 0.8139212689373149)]",1110
Atf3,transfac_pro__M01861,0.05592234104005523,3.456674492689769,0.000883,1.0,"gene is annotated for similar motif transfac_pro__M00981 ('V$CREBATF_Q6: CREB, ATF'; q-value = 0.000883)","frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Slc7a8', 2.810792808769384), ('Tcf20', 0.4531042465526095), ('Zfp36l1', 0.4257832503431664), ('Rfxank', 0.4441521496602402), ('Socs3', 0.7686215479431127), ('Tiparp', 0.4323676262392309), ('Htr2a', 0.4185843967694342), ('Cnnm1', 0.3966319548162207), ('Gdf15', 0.4999040844750257), ('Sema6c', 1.6080787245956825), ('Skida1', 0.6396622413158499), ('Tbc1d4', 0.5461301024883575), ('Eepd1', 0.6551881122759058), ('Nefm', 0.4069611208204682), ('Lhx6', 0.4101501099275612), ('Ltc4s', 0.6801695140577497), ('Sertad2', 0.4377971630096825), ('Carhsp1', 0.3923890581991409), ('Ppp3ca', 0.5194740520095364), ('Anxa9', 0.5731099570247226), ('Hoxa11', 1.5289182763611104), ('Ipo8', 0.4275827105441047), ('Frzb', 1.0349545697415952), ('Bcl11a', 0.4654460624791481), ('Has1', 0.4338035776827014), ('Hspa8', 0.8611687297239004), ('Btg1', 1.9205307086711596), ('Acpp', 0.6417829483144479), ('Tnfaip3', 1.4115386411856057), ('Pex5l', 0.8161367093108187), ('Rxra', 0.7010658657211238), ('Csrnp1', 0.5631574122447586), ('Kcnk6', 0.4166536925819557), ('Twist1', 1.337725637184058), ('Oas3', 0.940477850530165), ('Itprip', 0.6429348551748058), ('Kcng3', 0.4341846059413546), ('Als2cl', 0.5895851663867381), ('Sat1', 0.6482684328535656), ('Dnaja1', 1.1040651813175093), ('Pnrc1', 1.6114398009879138), ('Celf2', 0.514582616011034), ('Epn3', 1.3423287749984671), ('9330117O12Rik', 0.4520553047174454), ('Tfeb', 1.0554927685609203), ('Bag3', 0.6469779571458134), ('Nxph3', 3.451423766996801), ('Rtn4rl2', 0.7468612319036185), ('Unc45b', 0.6551240929304741), ('Sema4a', 0.4529495423636159), ('Triml2', 0.6317909066537747), ('Map3k8', 1.8529707251658527), ('H1f0', 0.9560515603376996), ('Gria3', 1.9187054694647905), ('Rnf128', 1.0662266647897385), ('Plcd4', 0.4899196681203363), ('Sertad1', 0.3949898633392258), ('Nfia', 0.5282953771590625), ('Hs3st3a1', 1.1192720742977806), ('Mettl7a1', 0.4747195392744729), ('Fos', 2.531101183381593), ('Lin7b', 0.4556361141556541), ('4930513N10Rik', 0.6664122520776806), ('Bhlhe40', 0.8147218115829459), ('A930006I01Rik', 0.4558921029664142), ('Trib1', 0.3947011185906692), ('Birc6', 0.4604687299758677)]",2880
Atf3,transfac_pro__M02279,0.060244868055849075,3.988177031711744,0.000274,1.0,"gene is annotated for similar motif transfac_pro__M00981 ('V$CREBATF_Q6: CREB, ATF'; q-value = 0.000274)","frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('9330117O12Rik', 0.4520553047174454), ('Rtn4rl2', 0.7468612319036185), ('Zbtb10', 0.7179994303819015), ('Galnt15', 0.8666627142674148), ('Gm9895', 0.7456019287330875), ('Kcng3', 0.4341846059413546), ('Tctex1d4', 0.6348160182896815), ('Lhx6', 0.4101501099275612), ('Hs3st3a1', 1.1192720742977806), ('Nfia', 0.5282953771590625), ('Map4k4', 0.8695858776411768), ('Celf2', 0.514582616011034), ('Dctd', 1.0279090137629936), ('Tcf20', 0.4531042465526095), ('Cpq', 0.4307758166038027), ('Htr2a', 0.4185843967694342), ('Dcdc2b', 0.4744036092507012), ('Cebpd', 0.5845721183406773), ('Gpr34', 0.7609262638295976), ('Mettl7a1', 0.4747195392744729), ('Gm9833', 0.4989825501867301), ('Capn9', 0.7101832823938402), ('Atf3', 1.0), ('Pde6a', 0.4399312249173148), ('Socs3', 0.7686215479431127), ('Clk1', 0.8758337292626801), ('Plcd4', 0.4899196681203363), ('Ppp3ca', 0.5194740520095364), ('Phyhipl', 2.2934195077822177), ('Ttk', 0.4597846932536942), ('Mmp24', 0.4923607700009986), ('Sema6c', 1.6080787245956825), ('Tfeb', 1.0554927685609203), ('Zfp454', 0.438963001244838), ('Ace', 0.6817795001182717), ('Pcdhb10', 0.45575722354033), ('Alpk3', 1.828341526309071), ('Pex5l', 0.8161367093108187), ('Skida1', 0.6396622413158499), ('Mchr1', 2.616611593686504), ('Ryr2', 1.6743577290648184), ('2900076A07Rik', 0.4143902748768289)]",1671
Atf3,transfac_public__M00039,0.05930653592008679,3.872798710007495,5.2e-05,1.0,"gene is annotated for similar motif transfac_pro__M00981 ('V$CREBATF_Q6: CREB, ATF'; q-value = 5.19e-05)","frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Nfkbiz', 1.0295527954089918), ('Ccnl1', 0.5652609354724757), ('Pex5l', 0.8161367093108187), ('Wsb1', 0.4654935543435796), ('Dnajb9', 0.9791453033135968), ('Atf3', 1.0), ('Gnb3', 1.1367439816797855), ('Txnl4b', 1.5914010263052016), ('Ddhd1', 0.4212786114446745), ('Zbtb18', 0.5343230419615574), ('Btg1', 1.9205307086711596), ('Pde6a', 0.4399312249173148), ('Tbc1d4', 0.5461301024883575), ('Sertad2', 0.4377971630096825), ('Abca9', 0.7062741141769804), ('Clk1', 0.8758337292626801), ('Tprg', 0.9190026533382634)]",435
Creb1,jaspar__MA0604.1,0.05564597278732992,3.304308318342076,1.7e-05,1.0,"gene is annotated for similar motif cisbp__M0297 ('Creb1[gene ID: ""ENSMUSG00000025958"" species: ""Mus musculus"" TF status: ""direct"" TF family: ""bZIP"" DBDs: ""bZIP_1""]; CrebB-17A[gene ID: ""FBgn0014467"" species: ""Drosophila melanogaster"" TF status: ""inferred"" TF family: ""bZIP"" DBDs: ""bZIP_1""]'; q-value = 1.72e-05)","frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Anapc2', 0.5436235890478509), ('Appbp2os', 0.6235042221695279), ('Ccnk', 1.686275045308748), ('Rpp38', 0.4632494179809518), ('Isg20', 0.8285510888524387), ('Oxsr1', 0.6340937448292796), ('Mrpl2', 0.6377354700773118), ('Gpr89', 0.5863289456876959), ('Tbc1d15', 0.6416546887566046), ('Ddx56', 0.6273428505972763), ('Fmr1nb', 0.4651005276630746), ('Dennd3', 0.4187241916385919), ('Tor1aip2', 0.4777890318818708), ('Dedd2', 0.5461976694613467), ('Dhx36', 0.5552887127886118), ('Mettl1', 0.5962133332007892), ('Rundc3b', 0.4076472442497156), ('Tmem218', 0.4367856106920773), ('Ift81', 0.4684937951284867), ('Rprd1a', 0.475467924244759)]",1056
Creb1,taipale_cyt_meth__CREB1_NRTGACGTN_eDBD_repr,0.05965787286170539,3.739550364764704,0.0,0.997067,gene is orthologous to ENSG00000118260 in H. sapiens (identity = 99%) which is directly annotated for motif,"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Nacc1', 0.4085556647120981), ('Pttg1ip', 0.5046439816016298), ('Arhgap26', 0.4715247335976328), ('Nme4', 0.6539300082906004), ('Ccnk', 1.686275045308748), ('Echdc1', 1.7125934608052449), ('Ube2ql1', 0.9047839698133991), ('Osbpl5', 0.4019909264381252), ('Rbm10', 1.8586366889819677), ('Tspan17', 0.3965655469637391), ('Rnft1', 0.4131885907082109), ('Mamld1', 1.2040725223947597), ('Enc1', 0.6392633168754945), ('Smc4', 0.5056113363466566), ('Cobll1', 0.4849081821709798), ('Ccnb1', 0.5867558008433397), ('Akap5', 0.4425602218609046), ('Atp1b1', 0.7199911224694969), ('Mon2', 0.4797309044190858), ('Rnf24', 0.595453483845494), ('Ift81', 0.4684937951284867)]",1111
Cux1,transfac_pro__M04610,0.053082256480012094,3.1901671669188048,0.0,1.0,gene is directly annotated,"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Kif5b', 0.5135375755495634), ('Ppfibp1', 1.720893958525448), ('Tcp11l1', 1.6689971153948595), ('Mapkapk2', 0.4298329902651129), ('Rusc2', 0.7971000186998001), ('Mbnl1', 0.4796545509931004), ('Itgb3', 0.7770298083004802), ('Tacc2', 0.4418843614974717), ('Bag6', 1.5440467159900986), ('Lrrc20', 0.7147196389780195), ('Lancl1', 1.3013986110593367), ('Adam10', 0.7533042854819025), ('Afap1', 1.23442939480781), ('Cdk6', 0.5936193990627812), ('Acap2', 1.1444298688084509), ('Sptan1', 0.7173729331701664), ('Capza2', 0.8086718818243782), ('Dlat', 1.1330962143099392), ('Txnrd3', 0.5070171395980706), ('Zranb2', 0.5165949541216537), ('Sephs1', 1.3980545458839435), ('Adipor1', 0.5048633946468866), ('Cpd', 1.1336205483426496), ('Depdc5', 0.5394008602316193), ('Cnot4', 1.408633570590705), ('Camkmt', 0.3919614208022529), ('Icmt', 0.5872734396628387), ('Wwp1', 0.5017224159103392), ('Adgrg2', 0.4315709149738821), ('Slc25a30', 0.4938097748356971), ('Zbtb7c', 0.8759148599744228), ('Wasf2', 1.3722786077864), ('Erc2', 0.630776537550151), ('Ap1b1', 0.8924385369196184), ('Mthfd2l', 0.5093933614246886), ('Usp18', 0.5261013632160346), ('Moxd1', 0.8007475052296897), ('Plec', 0.4715742451680927), ('Txnl1', 0.5267600557489182), ('Tprgl', 0.6771082512574973), ('Ptms', 0.4385833577433654), ('St3gal4', 0.5633329975596403), ('Map3k7', 0.4449492247401998), ('Atox1', 1.1745999479177542), ('Dag1', 0.5542661419384132), ('Gspt1', 0.7893908177991505), ('Disp1', 0.5407884121632109), ('Fam126a', 0.4933868167483657), ('Impad1', 1.2869317341826831), ('Coro2a', 0.6263055230685153), ('Col8a1', 0.916442165754178), ('Cnot6', 0.4097612475992579), ('Rnf2', 0.4529538258060442), ('Ift57', 0.505930665575857), ('Clcn5', 0.9155194616351968), ('Uhrf1bp1l', 0.672658902204801), ('Smarca5', 0.7301831612760029), ('Des', 0.5620826076549044), ('Plp2', 0.6744368458558606), ('Lrrfip2', 0.5508054979403948), ('Cux1', 1.0), ('Trio', 0.7589550222474825), ('Pgam5', 0.588515621487665), ('Glrb', 0.6903619712589176), ('Slc4a8', 0.588495769619478), ('Tdrd7', 1.2527228171730402), ('Sc5d', 0.9436205934464664), ('Myrf', 0.5582806912131851), ('Tmc8', 0.4656371123541127), ('Tpcn1', 0.5176754211502674), ('Parp8', 0.6444082487776441), ('Slc25a46', 1.046709368547743), ('Synm', 1.0875993937356718), ('Fryl', 0.4519399716642924), ('Dpysl2', 1.2924641504616978), ('Pum1', 0.9988430870928228), ('Rmnd5a', 0.9380597645643248), ('Notch1', 0.4245500105776872), ('Atp6ap1', 0.4854245755605644), ('Mfn2', 0.9136833852143496), ('Aplp2', 0.7624385219605634), ('Scoc', 0.6715854427533962), ('Bcap29', 0.7417601467578974), ('Dhps', 1.08455222337052)]",1917
Egr2,transfac_pro__M02023,0.08736125372842404,3.7482047509499807,1.3e-05,1.0,gene is annotated for similar motif hocomoco__EGR2_MOUSE.H11MO.1.A ('EGR2_MOUSE'; q-value = 1.27e-05),"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Mdk', 0.6066432752971992), ('Hgf', 1.1861036649050716), ('Rbm47', 0.8872539245498119), ('Bdnf', 1.679822009251123), ('Zfp691', 1.089376251346921), ('Nefm', 0.4148945177371532), ('Khnyn', 0.6839470442432491), ('Gpsm3', 0.405569986554236)]",228
