names,scores,logfoldchanges,pvals,pvals_adj
Ebf1(+),21.628645,1.0838513,9.658012161795141e-104,1.4776758607546566e-101
Cebpd(+),20.779316,2.396348,6.660061865883187e-96,5.094947327400638e-94
Egr1(+),20.603586,0.9016752,2.5485261652866465e-94,1.2997483442961897e-92
Irf1(+),20.546682,1.0924575,8.240753419683183e-94,3.152088183028817e-92
Mitf(+),18.756592,0.8738975,1.7102012870627493e-78,5.2332159384120126e-77
Jund(+),18.148964,1.7936978,1.3084475140429713e-73,3.3365411608095766e-72
Tbx15(+),17.919031,1.3623829,8.377565864556398e-72,1.831096538967327e-70
Fosb(+),17.838593,0.8316,3.545165703657164e-71,6.780129408244326e-70
Junb(+),17.3658,0.6894958,1.497973745122573e-67,2.546555366708374e-66
Jun(+),16.775726,2.5504284,3.6734052771342603e-63,5.620310074015418e-62
Nfkb1(+),15.078421,0.76591945,2.2457854943220454e-51,3.1236834602843e-50
Fos(+),14.255134,1.4347663,4.1650691343680765e-46,5.3104631463192975e-45
Klf4(+),13.165069,0.9637496,1.3941057447601873e-39,1.5235584210593475e-38
Atf3(+),11.003265,0.40157062,3.6854025155579633e-28,2.9677188677914125e-27
Cebpb(+),9.850123,0.4870256,6.845985498397269e-23,4.761071732976282e-22
Fosl2(+),9.37521,0.4705018,6.903851760241002e-21,4.401205497153639e-20
Klf9(+),9.250983,0.49804708,2.224364992494146e-20,1.3613113754064174e-19
Klf12(+),9.11962,0.2686267,7.538806883318364e-20,4.43629789672196e-19
Pbx1(+),7.8167896,1.3083833,5.418750162983341e-15,2.8588578446084527e-14
Thra(+),7.492336,0.87054974,6.765846119605697e-14,3.4505815209989057e-13
Srebf2(+),5.759151,0.73868656,8.453807028202156e-09,3.5928679869859166e-08
Zfp369(+),5.4345045,0.3293801,5.494897445419883e-08,2.2124192346032686e-07
Klf6(+),4.9435797,0.38030255,7.670090050412236e-07,2.7291250644490047e-06
Shox2(+),4.003011,0.8609386,6.254135391043916e-05,0.00018054390845843757
Zmiz1(+),3.7975752,0.0864701,0.00014611845735738781,0.0004064749813760061
Zfx(+),3.7701838,0.22106569,0.00016312740613899808,0.0004456873774869055
Tead4(+),3.6334193,1.1243695,0.0002796899161166543,0.0007378027097560019
Zfp82(+),3.5628188,0.084651254,0.0003668939246659184,0.0008910281027600876
Atf6(+),3.2181108,0.091465905,0.0012903796781717708,0.0029466879217952377
Tcf12(+),3.018076,0.6383274,0.0025438512881161414,0.0053316335216680765
Zfp740(+),2.8751388,0.4005364,0.004038498731041175,0.008238537411323998
Ncald(+),2.6124122,0.0870218,0.008990575670656326,0.01677509850744412
Zfp362(+),2.3307817,0.7354992,0.019764868814065237,0.034830559126150934
Prdm16(+),2.3300102,0.3945263,0.01980561205212504,0.034830559126150934
Erg(+),2.2225661,0.6003356,0.026245063318419075,0.04511791783952942
Zbtb7b(+),-2.1944032,-0.3504794,0.02820643739803234,0.04690853175977118
Erf(+),-2.200383,-0.33597898,0.027779732415601447,0.04670658307238485
Thrb(+),-2.2073274,-0.4882763,0.027291199886256074,0.04639503980663533
Prrx2(+),-2.288923,-0.15294935,0.022083826120043906,0.03839574314053089
Borcs8(+),-2.3988748,-0.2767561,0.016445543545592578,0.02960197838206664
Atf2(+),-2.4202862,-0.11748679,0.015508292504798979,0.028247247062312422
Arid3a(+),-2.428195,-0.32831365,0.015174178755487086,0.02797167891071716
Hdac2(+),-2.661987,-1.1641113,0.007768088275518979,0.01467305563153585
Zbtb7c(+),-2.6652663,-0.5473713,0.007692739258749377,0.01467305563153585
Gata2(+),-2.6868708,-0.7421298,0.007212485067638124,0.013968483738590288
Etv1(+),-2.7024956,-0.17824474,0.006882112030227256,0.013499527443907311
Batf3(+),-2.7235212,-0.8670511,0.006459004686497762,0.012834126195248801
Ikzf4(+),-2.7368312,-1.0268518,0.006203410486654286,0.01248844479550139
Elk1(+),-2.8996367,-0.1289124,0.003735952392344003,0.007724334000386925
Arntl(+),-3.05762,-0.54696625,0.0022310231283161884,0.0047409241476719
Mef2c(+),-3.0587773,-0.59365165,0.002222422471668062,0.0047409241476719
Hoxa3(+),-3.1523328,-0.3655435,0.001619716084220633,0.003540236584082241
Maz(+),-3.1668,-0.641644,0.00154126268383407,0.0034175824728494594
Bhlhe41(+),-3.1718154,-0.34140152,0.0015148929062290147,0.0034085090390152833
Twist1(+),-3.2717364,-0.5057791,0.0010688921564236437,0.0024778863626184464
Atf5(+),-3.3037574,-0.09937723,0.0009539837440730882,0.0022455309668181923
Zfp513(+),-3.4065719,-0.5106096,0.0006578425799543525,0.001572654917703374
Hmga2(+),-3.5877025,-1.0966077,0.0003336044930015256,0.0008232497972457003
Meis1(+),-3.5936825,-0.24765572,0.00032603719000747633,0.0008177654110023586
Zfp961(+),-3.6087284,-0.30418286,0.00030770149695222456,0.0007846388172281727
E2f2(+),-3.6096928,-0.45616508,0.0003065596972931406,0.0007846388172281727
Zfp646(+),-3.722345,-0.25370818,0.00019738097516348155,0.0005298120912282926
Irf2(+),-3.9306746,-0.27400333,8.470787179394744e-05,0.00024000563674951775
Runx3(+),-4.131867,-1.0053172,3.5982900453984944e-05,0.00010587276479730186
Pou2f1(+),-4.1457553,-0.5139536,3.3869527122954624e-05,0.00010160858136886388
Foxj3(+),-4.383984,-0.38167828,1.1652837689774637e-05,3.565768333071039e-05
AU041133(+),-4.398644,-0.8451587,1.089292690034831e-05,3.401260848476105e-05
Hcfc1(+),-4.627035,-0.88627905,3.7093801168200353e-06,1.1823649122363862e-05
Usf1(+),-4.6617565,-0.9772294,3.1352203767195704e-06,1.020614292847009e-05
Hoxc10(+),-4.8062367,-0.86541426,1.537977353513756e-06,5.1154464149479275e-06
Usf2(+),-4.847903,-1.3090612,1.247735883313424e-06,4.242302003265641e-06
Runx1(+),-4.8918834,-0.7702827,9.987564919502186e-07,3.472948710645079e-06
Crem(+),-4.978494,-0.6752518,6.408081419380606e-07,2.3343725170600777e-06
Elf4(+),-5.0571966,-0.29261082,4.2546462036673983e-07,1.5877094369783218e-06
Creb3l2(+),-5.137442,-0.64745057,2.7850341670826133e-07,1.0652755689090996e-06
Mxi1(+),-5.341335,-0.92095125,9.22647004864977e-08,3.619615172931833e-07
Spi1(+),-5.48215,-0.35709757,4.201877178401849e-08,1.737532995393197e-07
Smarca4(+),-5.9038243,-0.24184963,3.551706961893472e-09,1.5526033290562893e-08
Elk4(+),-6.0045166,-0.75131387,1.9190263646665726e-09,8.635618640999577e-09
Sp3(+),-6.154977,-0.25869614,7.508846024002441e-10,3.4813740656738587e-09
Zfp110(+),-6.167708,-0.9120848,6.928689691225492e-10,3.3127797586171885e-09
Etv5(+),-7.3258653,-0.3567046,2.373620584513502e-13,1.1714966110663412e-12
Ets1(+),-8.32411,-0.66254723,8.496435640596636e-17,4.642695189326019e-16
Gabpb1(+),-8.514693,-0.47182325,1.6703180301967348e-17,9.465135504448163e-17
Max(+),-9.56097,-0.86668867,1.1665822686689356e-21,7.760308135058572e-21
Nfatc2(+),-10.0816,-1.2690495,6.663175965259634e-24,4.854599631832018e-23
Etv4(+),-10.122495,-0.9048129,4.3907836908600214e-24,3.3589495235079163e-23
E2f1(+),-11.187483,-0.61202055,4.6957692128107615e-29,3.9914038308891474e-28
Fli1(+),-12.026009,-0.518299,2.5940148476316882e-33,2.3346133628685196e-32
Tfdp1(+),-12.773487,-0.5062497,2.3058905680275207e-37,2.2050078556763166e-36
Fosl1(+),-12.895783,-1.2432486,4.754051466090031e-38,4.849132495411831e-37
Arnt2(+),-13.279843,-1.2930743,3.030293210745891e-40,3.5664220095701635e-39
