names,selection_freq,mean_score
AU041133(+),1.0,3.932321619987488
Arnt2(+),1.0,11.919621124267579
Atf3(+),1.0,-9.898053684234618
E2f1(+),1.0,10.091797499656677
Crem(+),1.0,4.4242794287204745
Cebpd(+),1.0,-18.670222511291502
Creb3l2(+),1.0,4.644593110084534
Cebpb(+),1.0,-8.877568402290343
Klf12(+),1.0,-8.138036015033721
Hmga2(+),1.0,3.254123741388321
Fosl1(+),1.0,11.606731042861938
Fosb(+),1.0,-16.04135157585144
Foxj3(+),1.0,3.9754600965976716
Gabpb1(+),1.0,7.663041684627533
Hcfc1(+),1.0,4.165292003154755
Fosl2(+),1.0,-8.434891955852509
Fos(+),1.0,-12.814728455543518
Ets1(+),1.0,7.5244570207595824
Fli1(+),1.0,10.793423275947571
Etv5(+),1.0,6.61339455127716
Etv4(+),1.0,9.12154685974121
Elf4(+),1.0,4.5256739008426665
Elk4(+),1.0,5.398661971092224
Egr1(+),1.0,-18.525121269226073
Ebf1(+),1.0,-19.427489833831785
Thra(+),1.0,-6.780100319385529
Usf1(+),1.0,4.1781136679649356
Usf2(+),1.0,4.364384782314301
Zfp110(+),1.0,5.554105763435364
Tfdp1(+),1.0,11.523044657707214
Tbx15(+),1.0,-16.125311651229858
Spi1(+),1.0,4.922285627126694
Srebf2(+),1.0,-5.1493401527404785
Smarca4(+),1.0,5.299786114692688
Sp3(+),1.0,5.526249775886535
Runx1(+),1.0,4.43080449461937
Shox2(+),1.0,-3.5247849357128143
Zfp82(+),1.0,-3.1861767625808715
Zmiz1(+),1.0,-3.431036661863327
Zfp646(+),1.0,3.364749490022659
Zfp369(+),1.0,-4.882220011949539
Runx3(+),1.0,3.7327239871025086
Klf4(+),1.0,-11.845192818641662
Klf9(+),1.0,-8.33373158454895
Klf6(+),1.0,-4.4474252617359165
Max(+),1.0,8.595893433094025
Nfatc2(+),1.0,9.08118233203888
Mitf(+),1.0,-16.85126220703125
Mxi1(+),1.0,4.83832707285881
Jund(+),1.0,-16.33425895690918
Irf1(+),1.0,-18.459903087615967
Junb(+),1.0,-15.603481163978577
Jun(+),1.0,-15.105381903648377
Hoxc10(+),1.0,4.275415691137314
Irf2(+),1.0,3.514316909313202
Pbx1(+),1.0,-7.026873888969422
