,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
Arnt2,transfac_pro__M00976,0.07480756982003865,4.147183601086651,0.0,1.0,gene is directly annotated,"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Usp37', 0.6092772264533424), ('Kctd17', 0.5810545010644672), ('Hdac3', 2.0135246261758053), ('Btbd3', 1.5582677518402068), ('Max', 0.5280575981546857), ('Gtpbp6', 0.8041117515831917), ('Tmod2', 1.153969715272915), ('Adamts6', 1.3900239770307037), ('Fam50a', 0.5278531527111829), ('Camk1d', 0.5366374100799947), ('Tecr', 1.4628400322944366), ('Nop16', 0.6356910830311353), ('Macrod1', 1.1118755920686836), ('Ugp2', 2.190833494668799), ('Trappc1', 0.4963518959336726), ('Tmem126a', 0.503481390602418), ('Nans', 0.4798066525751654), ('Stau1', 0.4466222970612711), ('Cd55', 2.3666791037203043), ('Prkar2a', 0.4972722651682621), ('Chmp3', 0.4615930703523207)]",1343
Arntl,taipale_tf_pairs__ARNTL_PITX1_NNCACGTGNNNNRGMTTAN_CAP_repr,0.060121532176688405,3.1661985055110224,0.0,0.984026,gene is orthologous to ENSG00000133794 in H. sapiens (identity = 98%) which is directly annotated for motif,"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('4833411C07Rik', 0.4299259043258577), ('Slco5a1', 2.028498096273786), ('Tpbgl', 0.9066960444754164), ('Nradd', 0.7418282477392681), ('Ddt', 0.9615579397807176), ('Bcar1', 2.050306492279385), ('Nop2', 0.4184417922978682), ('Slc25a29', 0.4921422942417774), ('A930012L18Rik', 0.4523597792323371), ('Tmem267', 0.7844943321800224), ('Ap1m1', 0.4452827283332809), ('C1qtnf2', 0.7842941384669333), ('Ankrd29', 0.5417157087699954), ('Lilr4b', 0.7410009087544822)]",483
Atf2,transfac_pro__M00514,0.059963911359811856,3.172359990135009,3.9e-05,0.991786,gene is orthologous to ENSG00000115966 in H. sapiens (identity = 99%) which is annotated for similar motif taipale_cyt_meth__ATF2_NRTGAYGTMAYN_FL ('ATF2 [bZIP]'; q-value = 3.95e-05),"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Pkig', 0.4632696291865081), ('Pyroxd1', 0.7294050924004561), ('Vps33b', 0.657808159498827), ('Nuf2', 0.5154259415626168), ('Guk1', 0.5364125347796894), ('Lrch4', 0.5781650482622824), ('Nemf', 0.4208610648760791), ('Dnajc15', 0.4206559721989829), ('Batf2', 0.6189164280106993), ('Tcaf1', 0.663170698261834), ('Tmed2', 0.9883500181344682), ('Atf2', 1.0), ('Zfp444', 0.5538980689961548), ('Smchd1', 0.4235485582953084), ('Ttf2', 0.4544872744207711), ('AI839979', 0.4203336197961665), ('Ccdc47', 0.5009815837190859), ('Pask', 0.5196274583246595), ('Smim20', 0.5107248751688727), ('Rexo1', 1.643841715927394), ('Rbmx2', 1.2503350324645928), ('Med16', 1.2818164210934473)]",856
Deaf1,transfac_pro__M01238,0.07359945634696713,3.2230334612839537,0.0,0.215548,gene is orthologous to FBgn0013799 in D. melanogaster (identity = 21%) which is directly annotated for motif,"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Sec24b', 0.4476565704691967), ('Zfx', 0.7319576199238121), ('Lemd3', 1.0546995450470755), ('Arl5b', 0.4128456976083376), ('Pkn1', 2.063595840593298), ('Tirap', 0.4185741101239931), ('Dlgap1', 1.502040546011663), ('Prkaa1', 1.2242660570029478), ('Cops7a', 0.5190773792389204), ('Smarca2', 0.7281007945667821), ('Nrp2', 0.6552398309596007), ('Taf3', 0.6861214151848988), ('Phactr4', 0.9507243956070272), ('Slc43a1', 1.850173330196372), ('Crebbp', 0.4203989082136447), ('Col12a1', 0.4247817922367511), ('Adgrv1', 3.293462790959842), ('Fam124a', 0.6131587650211482), ('Prpsap1', 0.6265108604731181), ('Fam13c', 1.1336524776492782), ('Hspa4', 0.4586147466173295), ('Nabp2', 0.6073853990139024), ('Grina', 0.5860071058216324), ('Rabggtb', 0.5840739975871031), ('Adgrl1', 1.7204431767496748), ('Gfm1', 2.1051239557486574), ('Ankrd52', 1.7477256006334303), ('Gmeb2', 0.636508417479503), ('Nmnat3', 2.0631899615424825), ('Sft2d1', 2.2513554287823583), ('Lrrc27', 1.4653679826055448), ('1110046J04Rik', 0.5880841962062554), ('Mcm3ap', 0.456126483390977), ('Uqcrc1', 0.5036769042776257), ('Cog3', 0.5706801323918509), ('Rnpep', 0.9811022432002532), ('Tmem95', 0.5911207327310756)]",3167
E2f1,transfac_pro__M00430,0.05691379029062857,3.0523555618833464,0.0,1.0,gene is directly annotated,"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Zfp746', 0.5601617613506168), ('Mllt3', 0.6017829738784979), ('Cdr2l', 0.5610359121368228), ('Fgf9', 0.4856338147407146), ('Arid2', 1.8357298422379265), ('Pigu', 0.6804704197466023), ('Filip1l', 0.9014986415632148), ('Pkn1', 0.8842891110971368), ('Psmc4', 0.4698998866940462), ('Pfkl', 0.4820806700329516), ('Nap1l4', 0.6389231270912725), ('Ergic2', 0.487556476997289), ('Gle1', 1.63288044931842), ('Nme6', 1.0217661726803169), ('Sf3b3', 0.7189338164547536), ('Necab1', 1.8415420091886592), ('Chfr', 0.7504731706786045), ('Mcoln1', 0.5104104664706901), ('Rab27b', 1.3874568895664965), ('Ifngr2', 1.4148700344695817), ('Tmod2', 0.8953923641659982), ('Lactb2', 0.475853222603618), ('Cnih1', 0.7418618618292435), ('Aldh18a1', 0.6375511718981445), ('9130401M01Rik', 0.4704791718930148), ('Senp1', 0.8041079338931343), ('Tprgl', 1.2168720839642864), ('Rnf217', 0.4372253460195462), ('Polr1c', 0.4669145578638967), ('Rilp', 1.3828078252481446), ('Cpox', 2.655962112332133), ('Ap2a2', 0.7358244397518586), ('Atp6ap2', 1.0177612172376818), ('Ankra2', 0.698112863540525), ('Armc8', 0.4340783898180242), ('Thumpd1', 0.8812784432103884), ('Gpn3', 0.6428889162680628), ('Tomm40l', 1.373976871306759), ('Upp1', 0.5025857080961723), ('Dhrs4', 0.6371357565825061), ('Flrt3', 0.4597149464465845), ('Kazn', 1.2399534497650704), ('Gypc', 0.5997023670980883), ('Tiparp', 0.4133378370888373), ('Pard6a', 2.1525450074166788), ('Lclat1', 0.6302661637352304), ('Abr', 1.920979365709008), ('Bmp2', 0.9929059962376244), ('Fzd9', 0.4896106851617653), ('Epc1', 1.0942602621669637), ('Zfp322a', 1.119330950679009), ('Gfm1', 1.1353219591793169), ('Zfp429', 1.5005347887256288), ('Dido1', 1.3351039362859234), ('Ddx10', 0.5592870393342524), ('Hist1h1e', 0.6980789874918112), ('Creld1', 1.3002065692067173), ('Ptpn11', 0.6075929444376332), ('Shroom4', 0.8441593702677659), ('Bambi', 0.5762151467940667), ('Mgrn1', 0.719452723939496), ('Osgepl1', 0.4951779254462974), ('Psd', 1.533703396371779), ('Lactb', 0.4137540774011341), ('Ankrd29', 0.9703191165410152), ('Zfp703', 0.7292804710037668), ('Trmt10b', 1.7332187168318145), ('Cdc14b', 0.4944308486612837), ('Nxn', 0.5318093369899554), ('AW551984', 0.9746548481466428), ('Pop4', 1.1125352102013184), ('Pigl', 0.421746697334489)]",4776
E2f1,transfac_pro__M00803,0.06471360539461316,3.8476821688793765,0.0,1.0,gene is directly annotated,"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Decr1', 1.4115103719300093), ('4930430F08Rik', 2.931776853650136), ('Vasn', 0.4710177554433819), ('Cgref1', 0.5913551910595565), ('Sf3b3', 0.7189338164547536), ('Hist1h1e', 0.6980789874918112), ('Mfsd11', 0.7177483545030282), ('Cnih1', 0.7418618618292435), ('Dhrs4', 0.6371357565825061), ('Psmc4', 0.4698998866940462), ('Lactb', 0.4137540774011341), ('Zfp300', 0.4419999894220545)]",296
E2f3,transfac_pro__M00803,0.07206621128338574,3.6293459384347124,0.0,1.0,gene is directly annotated,"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Zgrf1', 0.5615821586579064), ('A430005L14Rik', 0.800111268085552), ('Ube2h', 0.8179205137662968), ('Crnde', 0.9701552480601572), ('Zswim7', 1.677914506845349), ('Haus2', 0.7228321158010382), ('Sec23b', 0.799487680331982), ('Wdr82', 1.1629628010781634), ('Sav1', 1.9932519510771856), ('Ckap2', 0.459048180703785), ('Pcnx4', 0.6429457322378732), ('Ric8b', 1.297270795439304)]",836
E2f3,transfac_pro__M02089,0.06419458599877119,3.032281647219403,0.0,1.0,gene is directly annotated,"frozenset({'weight>75.0%', 'activating', 'mm10_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings'})","[('Hjurp', 0.770321809842945), ('Abca5', 0.439396908482993), ('Eif3b', 0.6505462305390847), ('Fdx1', 1.9609776982407217), ('Nemp1', 0.5673715299506653), ('A430005L14Rik', 0.800111268085552), ('Ube3c', 1.687423393112776), ('Rpap3', 0.6103004240567232), ('Anapc1', 0.4938442256601763), ('Nuf2', 0.539084581737723), ('Snap23', 0.7683965484682095), ('Wdr82', 1.1629628010781634), ('Synj2bp', 0.447294977427438), ('Brpf3', 0.6795767370635893), ('Pde3b', 0.6449537765738643), ('Large1', 0.5698385406768034), ('Fam207a', 0.680504364218205), ('Klhl15', 0.6401300870529497), ('Ckap2', 0.459048180703785), ('Dusp14', 1.3836876139040315), ('Edn1', 0.7320299582661797), ('Ntm', 1.543199548258572), ('Ntf3', 0.486092153170948), ('Bbip1', 0.5193535525616905), ('Stx17', 0.4726915739053139), ('Ythdf1', 0.5208969701421567), ('Trim33', 1.0582580097680594), ('Slc41a2', 3.220286091659201), ('Ahcy', 0.4120679097141554), ('Col8a2', 0.5547874768343048), ('Uimc1', 0.5421950166670522), ('Mpi', 0.8380608831969887), ('Lyrm7', 0.4483016163326365), ('Slc35a1', 0.5436576679833205), ('Pgs1', 1.215744165921662), ('Fam53c', 0.5054764716795039), ('1110051M20Rik', 0.5838410005459869), ('Pcnx4', 0.6429457322378732), ('Haus2', 0.7228321158010382), ('Zxdc', 0.4792254729564968), ('Casp4', 0.9659817415044758)]",4897
