regulon,cell_type,harvey_score,cherief_score,harvey_logfc,cherief_logfc
Cebpd(+),T-FAP,20.779316,29.314266,2.396348,2.636666
Egr1(+),T-FAP,20.603586,25.893581,0.9016752,0.7764629
Irf1(+),T-FAP,20.546682,20.834347,1.0924575,0.8464357
Jund(+),T-FAP,18.148964,28.431025,1.7936978,0.6966795
Fosb(+),T-FAP,17.838593,26.718578,0.8316,1.2705781
Junb(+),T-FAP,17.3658,27.267511,0.6894958,1.1268437
Jun(+),T-FAP,16.775726,26.297634,2.5504284,1.7832583
Nfkb1(+),T-FAP,15.078421,21.23526,0.76591945,0.76300865
Fos(+),T-FAP,14.255134,17.516514,1.4347663,0.7794066
Atf3(+),T-FAP,11.003265,25.695847,0.40157062,0.9980492
Klf9(+),T-FAP,9.250983,24.289484,0.49804708,0.70577973
Pbx1(+),T-FAP,7.8167896,12.386636,1.3083833,0.80068743
Zfp369(+),T-FAP,5.4345045,4.955148,0.3293801,1.1013683
Klf6(+),T-FAP,4.9435797,18.595524,0.38030255,0.3677451
Prdm16(+),T-FAP,2.3300102,8.221865,0.3945263,1.4180983
