regulon,cell_type,harvey_selection_freq,harvey_mean_score,cherief_selection_freq,cherief_mean_score
Cebpd(+),T-FAP,1.0,18.670222511291502,1.0,24.179847011566164
Egr1(+),T-FAP,1.0,18.525121269226073,1.0,21.36529682159424
Irf1(+),T-FAP,1.0,18.459903087615967,1.0,17.20511278629303
Jund(+),T-FAP,1.0,16.33425895690918,1.0,23.49011540412903
Fosb(+),T-FAP,1.0,16.04135157585144,1.0,22.05396717071533
Junb(+),T-FAP,1.0,15.603481163978577,1.0,22.520070819854737
Jun(+),T-FAP,1.0,15.105381903648377,1.0,21.717749300003053
Nfkb1(+),T-FAP,1.0,13.567824220657348,1.0,17.529770140647887
Fos(+),T-FAP,1.0,12.814728455543518,1.0,14.476423659324645
Atf3(+),T-FAP,1.0,9.898053684234618,1.0,21.218248271942137
Klf9(+),T-FAP,1.0,8.33373158454895,1.0,20.050648012161254
Pbx1(+),T-FAP,1.0,7.026873888969422,1.0,10.211228466033935
Zfp369(+),T-FAP,1.0,4.882220011949539,1.0,4.1476281177997585
Klf6(+),T-FAP,1.0,4.4474252617359165,1.0,15.384296655654907
Zfx(+),T-FAP,0.995,3.313282279372215,0.99,3.279573931694031
