"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G8YQVBNU","journalArticle","2019","Scott, R. Wilder; Arostegui, Martin; Schweitzer, Ronen; Rossi, Fabio M. V.; Underhill, T. Michael","Hic1 Defines Quiescent Mesenchymal Progenitor Subpopulations with Distinct Functions and Fates in Skeletal Muscle Regeneration","Cell Stem Cell","","1934-5909, 1875-9777","10.1016/j.stem.2019.11.004","https://www.cell.com/cell-stem-cell/abstract/S1934-5909(19)30459-X","","2019-12-05","2026-01-31 20:48:05","2026-01-31 20:48:05","2026-01-31 20:48:05","797-813.e9","","6","25","","Cell Stem Cell","","","","","","Elsevier","","English","","","","","www.cell.com","","","","C:\Users\fangy\Zotero\storage\KECVYTQJ\Scott et al. - 2019 - Hic1 Defines Quiescent Mesenchymal Progenitor Subpopulations with Distinct Functions and Fates in Sk.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/31809738","","lineage tracing; mesenchymal progenitors; myotendinous junction; pericytes; quiescence; scATAC-seq; scRNA-seq; skeletal muscle; tendon; tissue regeneration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9Z8LLSH7","journalArticle","2020","Soliman, Hesham; Paylor, Ben; Scott, R. Wilder; Lemos, Dario R.; Chang, ChihKai; Arostegui, Martin; Low, Marcela; Lee, Christina; Fiore, Daniela; Braghetta, Paola; Pospichalova, Vendula; Barkauskas, Christina E.; Korinek, Vladimir; Rampazzo, Alessandra; MacLeod, Kathleen; Underhill, T. Michael; Rossi, Fabio M. V.","Pathogenic Potential of Hic1-Expressing Cardiac Stromal Progenitors","Cell Stem Cell","","1934-5909, 1875-9777","10.1016/j.stem.2019.12.008","https://www.cell.com/cell-stem-cell/abstract/S1934-5909(19)30526-0","","2020-02-06","2026-01-31 20:50:33","2026-01-31 20:50:33","2026-01-31 20:50:33","205-220.e8","","2","26","","Cell Stem Cell","","","","","","Elsevier","","English","","","","","www.cell.com","","","","C:\Users\fangy\Zotero\storage\E9T75UIP\Soliman et al. - 2020 - Pathogenic Potential of Hic1-Expressing Cardiac Stromal Progenitors.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/31978365","","arrhythmogenic cardiomyopathy; cardiac fibrosis; cFAP; fibroadipogenic progenitor; fibrofatty infiltration; Hic1; mesenchymal progenitor; myocardial infarction; nilotinib; PDGFRa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCIM6VET","journalArticle","2020","Abbasi, Sepideh; Sinha, Sarthak; Labit, Elodie; Rosin, Nicole L.; Yoon, Grace; Rahmani, Waleed; Jaffer, Arzina; Sharma, Nilesh; Hagner, Andrew; Shah, Prajay; Arora, Rohit; Yoon, Jessica; Islam, Anowara; Uchida, Aya; Chang, Chih Kai; Stratton, Jo Anne; Scott, R. Wilder; Rossi, Fabio M. V.; Underhill, T. Michael; Biernaskie, Jeff","Distinct Regulatory Programs Control the Latent Regenerative Potential of Dermal Fibroblasts during Wound Healing","Cell Stem Cell","","1934-5909, 1875-9777","10.1016/j.stem.2020.07.008","https://www.cell.com/cell-stem-cell/abstract/S1934-5909(20)30346-5","","2020-09-03","2026-01-31 20:52:05","2026-01-31 20:52:05","2026-01-31 20:52:05","396-412.e6","","3","27","","Cell Stem Cell","","","","","","Elsevier","","English","","","","","www.cell.com","","","","C:\Users\fangy\Zotero\storage\NADPVAX5\Abbasi et al. - 2020 - Distinct Regulatory Programs Control the Latent Regenerative Potential of Dermal Fibroblasts during.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/32755548","","Hic1; mesenchymal progenitor; dermis; fibroblast; hair follicle dermal stem cells; hfDSC; mesenchyme; skin regeneration; wound healing; wound-induced hair follicle neogenesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JYDDU58","journalArticle","2022","Arostegui, Martin; Scott, R. Wilder; Böse, Kerstin; Underhill, T. Michael","Cellular taxonomy of Hic1+ mesenchymal progenitor derivatives in the limb: from embryo to adult","Nature Communications","","2041-1723","10.1038/s41467-022-32695-1","https://www.nature.com/articles/s41467-022-32695-1","Tissue development and regeneration rely on the cooperation of multiple mesenchymal progenitor (MP) subpopulations. We recently identified Hic1 as a marker of quiescent MPs in multiple adult tissues. Here, we describe the embryonic origin of appendicular Hic1+ MPs and demonstrate that they arise in the hypaxial somite, and migrate into the developing limb at embryonic day 11.5, well after limb bud initiation. Time-resolved single-cell-omics analyses coupled with lineage tracing reveal that Hic1+ cells generate a unique MP hierarchy, that includes both recently identified adult universal fibroblast populations (Dpt+, Pi16+ and Dpt+ Col15a1+) and more specialised mesenchymal derivatives such as, peri and endoneurial cells, pericytes, bone marrow stromal cells, myotenocytes, tenocytes, fascia-resident fibroblasts, with limited contributions to chondrocytes and osteocytes within the skeletal elements. MPs endure within these compartments, continue to express Hic1 and represent a critical reservoir to support post-natal growth and regeneration.","2022-08-25","2026-01-31 20:53:14","2026-01-31 20:53:14","2026-01-31 20:53:14","4989","","1","13","","Nat Commun","Cellular taxonomy of Hic1+ mesenchymal progenitor derivatives in the limb","","","","","Nature Publishing Group","","en","2022 The Author(s)","","","","www.nature.com","","","","C:\Users\fangy\Zotero\storage\BLRNP3T5\Arostegui et al. - 2022 - Cellular taxonomy of Hic1+ mesenchymal progenitor derivatives in the limb from embryo to adult.pdf","","","Regeneration; Mesenchymal stem cells; Multipotent stem cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GEE7KPAR","journalArticle","2023","Arostegui, Martin; Scott, R. Wilder; Underhill, T. Michael","Hic1 identifies a specialized mesenchymal progenitor population in the embryonic limb responsible for bone superstructure formation","Cell Reports","","2211-1247","10.1016/j.celrep.2023.112325","https://www.cell.com/cell-reports/abstract/S2211-1247(23)00336-4","","2023-04-25","2026-01-31 20:54:09","2026-01-31 20:54:09","2026-01-31 20:54:09","","","4","42","","Cell Reports","","","","","","Elsevier","","English","","","","","www.cell.com","","","","C:\Users\fangy\Zotero\storage\MFAPMUYF\Arostegui et al. - 2023 - Hic1 identifies a specialized mesenchymal progenitor population in the embryonic limb responsible fo.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/37002923","","lineage tracing; mesenchymal progenitors; myotendinous junction; chondrogenesis; congenital limb defects; enthesis; limb development; single-cell omics; skeletal development; transgenic models; CP: Developmental biology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X24IZRRT","journalArticle","2020","Kaji, Deepak A; Howell, Kristen L; Balic, Zerina; Hubmacher, Dirk; Huang, Alice H","Tgfβ signaling is required for tenocyte recruitment and functional neonatal tendon regeneration","eLife","","2050-084X","10.7554/eLife.51779","https://doi.org/10.7554/eLife.51779","Tendon injuries are common with poor healing potential. The paucity of therapies for tendon injuries is due to our limited understanding of the cells and molecular pathways that drive tendon regeneration. Using a mouse model of neonatal tendon regeneration, we identified TGFβ signaling as a major molecular pathway that drives neonatal tendon regeneration. Through targeted gene deletion, small molecule inhibition, and lineage tracing, we elucidated TGFβ-dependent and TGFβ-independent mechanisms underlying tendon regeneration. Importantly, functional recovery depended on canonical TGFβ signaling and loss of function is due to impaired tenogenic cell recruitment from both Scleraxis-lineage and non-Scleraxis-lineage sources. We show that TGFβ signaling is directly required in neonatal tenocytes for recruitment and that TGFβ ligand is positively regulated in tendons. Collectively, these results show a functional role for canonical TGFβ signaling in tendon regeneration and offer new insights toward the divergent cellular activities that distinguish regenerative vs fibrotic healing.","2020-06-05","2026-01-31 20:54:37","2026-01-31 20:54:37","2026-01-31 20:54:37","e51779","","","9","","","","","","","","eLife Sciences Publications, Ltd","","","","","","","eLife","","","","C:\Users\fangy\Zotero\storage\35ZAJE6B\Kaji et al. - 2020 - Tgfβ signaling is required for tenocyte recruitment and functional neonatal tendon regeneration.pdf","","","tendon; regeneration; tgfβ","Zaidi, Mone; Rosen, Clifford J; Wan, Mei; Loiselle, Alayna E; Dyment, Nathanial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8EE9IY6W","journalArticle","2021","Moser, Helen L.; Abraham, Adam C.; Howell, Kristen; Laudier, Damien; Zumstein, Matthias A.; Galatz, Leesa M.; Huang, Alice H.","Cell lineage tracing and functional assessment of supraspinatus tendon healing in an acute repair murine model","Journal of Orthopaedic Research","","1554-527X","10.1002/jor.24769","https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.24769","Rotator cuff supraspinatus tendon injuries are common with high rates of anatomic failure after surgical repair. The purpose of the study was to define clinically relevant features of a mouse model of supraspinatus tendon injury to determine painful, functional, and structural outcomes; we further investigated two cell populations mediating healing using genetic lineage tracing after full detachment and repair of the supraspinatus tendon in mice. The pain was assessed using the mouse grimace scale and function by gait analysis and tensile testing. Histological and microCT analyses were used to determine enthesis/tendon and bone structure, respectively. Lineage tracing was carried out using inducible Cre lines for ScxCreERT2 (tendon cells) and αSMACreERT2 (myofibroblasts and mesenchymal progenitors). Mice only expressed pain transiently after surgery despite long-term impairment of functional and structural properties. Gait, tensile mechanical properties, and bone properties were significantly reduced after injury and repair. Lineage tracing showed relatively few Scx lin tendon cells while αSMA lin cells contributed strongly to scar formation. Despite surgical reattachment of healthy tendon, lineage tracing revealed poor preservation of supraspinatus tendon after acute injury and loss of tendon structure, suggesting that tendon degeneration is also a key impediment of successful rotator cuff repair. Scar formation after surgery is mediated largely by αSMA lin cells and results in permanently reduced functional and structural properties.","2021","2026-01-31 20:55:39","2026-01-31 20:55:39","2026-01-31 20:55:39","1789-1799","","8","39","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/jor.24769","","C:\Users\fangy\Zotero\storage\IHGIWN8U\Moser et al. - 2021 - Cell lineage tracing and functional assessment of supraspinatus tendon healing in an acute repair mu.pdf; C:\Users\fangy\Zotero\storage\BSMIX6P3\jor.html","","","function; pain; repair; rotator cuff; tendon injury","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RAU3JGF4","journalArticle","2017","Howell, Kristen; Chien, Chun; Bell, Rebecca; Laudier, Damien; Tufa, Sara F.; Keene, Douglas R.; Andarawis-Puri, Nelly; Huang, Alice H.","Novel Model of Tendon Regeneration Reveals Distinct Cell Mechanisms Underlying Regenerative and Fibrotic Tendon Healing","Scientific Reports","","2045-2322","10.1038/srep45238","https://www.nature.com/articles/srep45238","To date, the cell and molecular mechanisms regulating tendon healing are poorly understood. Here, we establish a novel model of tendon regeneration using neonatal mice and show that neonates heal via formation of a ‘neo-tendon’ that differentiates along the tendon specific lineage with functional restoration of gait and mechanical properties. In contrast, adults heal via fibrovascular scar, aberrant differentiation toward cartilage and bone, with persistently impaired function. Lineage tracing identified intrinsic recruitment of Scx-lineage cells as a key cellular mechanism of neonatal healing that is absent in adults. Instead, adult Scx-lineage tenocytes are not recruited into the defect but transdifferentiate into ectopic cartilage; in the absence of tenogenic cells, extrinsic αSMA-expressing cells persist to form a permanent scar. Collectively, these results establish an exciting model of tendon regeneration and uncover a novel cellular mechanism underlying regenerative vs non-regenerative tendon healing.","2017-03-23","2026-01-31 20:56:41","2026-01-31 20:56:41","2026-01-31 20:56:41","45238","","1","7","","Sci Rep","","","","","","Nature Publishing Group","","en","2017 The Author(s)","","","","www.nature.com","","","","C:\Users\fangy\Zotero\storage\PXSG5KND\Howell et al. - 2017 - Novel Model of Tendon Regeneration Reveals Distinct Cell Mechanisms Underlying Regenerative and Fibr.pdf","","","Developmental biology; Stem cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCUPMR39","journalArticle","2023","Cherief, Masnsen; Xu, Jiajia; Li, Zhao; Tower, Robert J.; Ramesh, Sowmya; Qin, Qizhi; Gomez-Salazar, Mario; Yea, Ji-Hye; Lee, Seungyong; Negri, Stefano; Xu, Mingxin; Price, Theodore; Kendal, Adrian R.; Fan, Chen-Ming; Clemens, Thomas L.; Levi, Benjamin; James, Aaron W.","TrkA-mediated sensory innervation of injured mouse tendon supports tendon sheath progenitor cell expansion and tendon repair","Science Translational Medicine","","","10.1126/scitranslmed.ade4619","https://www.science.org/doi/10.1126/scitranslmed.ade4619","Peripheral neurons terminate at the surface of tendons partly to relay nociceptive pain signals; however, the role of peripheral nerves in tendon injury and repair remains unclear. Here, we show that after Achilles tendon injury in mice, there is new nerve growth near tendon cells that express nerve growth factor (NGF). Conditional deletion of the Ngf gene in either myeloid or mesenchymal mouse cells limited both innervation and tendon repair. Similarly, inhibition of the NGF receptor tropomyosin receptor kinase A (TrkA) abrogated tendon healing in mouse tendon injury. Sural nerve transection blocked the postinjury increase in tendon sensory innervation and the expansion of tendon sheath progenitor cells (TSPCs) expressing tubulin polymerization promoting protein family member 3. Single cell and spatial transcriptomics revealed that disruption of sensory innervation resulted in dysregulated inflammatory signaling and transforming growth factor–β (TGFβ) signaling in injured mouse tendon. Culture of mouse TSPCs with conditioned medium from dorsal root ganglia neuron further supported a role for neuronal mediators and TGFβ signaling in TSPC proliferation. Transcriptomic and histologic analyses of injured human tendon biopsy samples supported a role for innervation and TGFβ signaling in human tendon regeneration. Last, treating mice after tendon injury systemically with a small-molecule partial agonist of TrkA increased neurovascular response, TGFβ signaling, TSPC expansion, and tendon tissue repair. Although further studies should investigate the potential effects of denervation on mechanical loading of tendon, our results suggest that peripheral innervation is critical for the regenerative response after acute tendon injury.","2023-12-20","2026-01-31 21:00:03","2026-01-31 21:00:03","2026-01-31 21:00:03","eade4619","","727","15","","","","","","","","American Association for the Advancement of Science","","","","","","","science.org (Atypon)","","","","C:\Users\fangy\Zotero\storage\ICFXN7MN\Cherief et al. - 2023 - TrkA-mediated sensory innervation of injured mouse tendon supports tendon sheath progenitor cell exp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AK7J6MFX","journalArticle","2019","Harvey, Tyler; Flamenco, Sara; Fan, Chen-Ming","A Tppp3+Pdgfra+ tendon stem cell population contributes to regeneration and reveals a shared role for PDGF signalling in regeneration and fibrosis","Nature Cell Biology","","1476-4679","10.1038/s41556-019-0417-z","https://www.nature.com/articles/s41556-019-0417-z","Tendon injuries cause prolonged disability and never recover completely. Current mechanistic understanding of tendon regeneration is limited. Here, we use single-cell transcriptomics to identify a tubulin polymerization-promoting protein family member 3-expressing (Tppp3+) cell population as potential tendon stem cells. Through inducible lineage tracing, we demonstrate that these cells can generate new tenocytes and self-renew upon injury. A fraction of Tppp3+ cells expresses platelet-derived growth factor receptor alpha (Pdfgra). Ectopic platelet-derived growth factor-AA (PDGF-AA) protein induces new tenocyte production while inactivation of Pdgfra in Tppp3+ cells blocks tendon regeneration. These results support Tppp3+Pdgfra+ cells as tendon stem cells. Unexpectedly, Tppp3−Pdgfra+ fibro-adipogenic progenitors coexist in the tendon stem cell niche and give rise to fibrotic cells, revealing a clandestine origin of fibrotic scars in healing tendons. Our results explain why fibrosis occurs in injured tendons and present clinical challenges to enhance tendon regeneration without a concurrent increase in fibrosis by PDGF application.","2019-12","2026-01-31 21:00:34","2026-01-31 21:00:34","2026-01-31 21:00:34","1490-1503","","12","21","","Nat Cell Biol","","","","","","Nature Publishing Group","","en","2019 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","","","C:\Users\fangy\Zotero\storage\5P9FNC6T\Harvey et al. - 2019 - A Tppp3+Pdgfra+ tendon stem cell population contributes to regeneration and reveals a shared role fo.pdf","","","Adult stem cells; Regeneration; Stem-cell niche","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
